index	input_data_loc	output_data_loc
289033	Table 1 and Figure S5	['table 1', 'figure s5']
289229	Table 1 and Figures 1, and 2	['table 1', 'figure 1', 'figure 2']
289532	Table 1 and Figures S2 and S4	['table 1', 'figure s2', 'figure s4']
290354	Table 1, Figure 2 and PDB 4WJ5	['table 1', 'figure 2', 'pdb 4wj5']
291008	Table 1, Figure 7, Supplementary Figure 7 and PDB 4U6G	['table 1', 'figure 7', 'supplementary figure 7', 'pdb 4u6g']
291505	Table 1, Figures 1, 2, 3, Supplementary Figures 1, 2 and PDB 4XXD	['table 1', 'figure 1', 'figure 2', 'figure 3', 'supplementary figure 1', 'supplementary figure 2', 'pdb 4xxd']
292500	Table 1, Figures 2, 4, Extended Data Figures 1, 2, 5, 6, 9 and PDB 6NI2	['table 1', 'figure 2', 'figure 4', 'extended data figure 1', 'extended data figure 2', 'extended data figure 5', 'extended data figure 6', 'extended data figure 9', 'pdb 6ni2']
292673	Table 1, Figures 3, 4, 5, 6	['table 1', 'figure 3', 'figure 4', 'figure 5', 'figure 6']
292734	Table 1, Figures 3, 4, and 6	['table 1', 'figure 3', 'figure 4', 'figure 6']
293243	Table 1, PDB 1TJG	['table 1', 'pdb 1tjg']
293273	Table 1, S1 and Figures S8-12	['table 1', 'table s1', 'figure s8', 'figure 12']
293409	Table 1, S3 Table	['table 1', 'table s3 table']
293451	Table 1, Suppl Text	['table 1', 'supplemental text']
293556	Table 1, Supplementary Figure 3 and PDB 6GS1	['table 1', 'supplementary figure 3', 'pdb 6gs1']
293825	Table 1, Text page 734	['table 1', 'page 734']
294111	Table 2 and figures 1, 7	['table 2', 'figure 1', 'figure 7']
294237	Table 2 and Figures 6 and 7	['table 2', 'figure 6', 'figure 7']
295869	Table 2, Supplementary Table 2, and Supplementary Figure	['table 2', 'supplementary table 2', 'supplementary figure']
296309	Table 3, Figure 2	['table 3', 'figure 2']
296806	Table 3,Figure 4B	['table 3', 'figure 4b']
296845	Table 4 and Figure 1	['table 4', 'figure 1']
297445	Table I, 3 and Figure 2	['table 1', 'table 3', 'figure 2']
297505	Table I, Figure 2 and PDB 2VDQ	['table 1', 'figure 2', 'pdb 2vdq']
297530	Table I, Figure 4 and PDB 3ECB	['table 1', 'figure 4', 'pdb 3ecb']
298092	Table II and III	['table 2', 'table 3']
298163	TABLE II, Fig.4, Fig.5	['table 2', 'figure 4', 'figure 5']
298646	Table III and Figure 5	['table 3', 'figure 5']
298722	Table III, Figure 3A	['table 3', 'figure 3a']
299894	Table S4, S6	['table s4', 'table s6']
300119	Table VI and figure 2	['table 6', 'figure 2']
300257	Tables 1 and 2 and Figure 3	['table 1', 'table 2', 'figure 3']
300666	Tables 1 and 4, Figures 3 and 5	['table 1', 'table 4', 'figure 3', 'figure 5']
300921	Tables 1, 2 and PDB 5GJT	['table 1', 'table 2', 'pdb 5gjt']
301134	Tables 1, 2, 3, 4, 5, Figures 4, 5, 6, 7, 9, 10 and PDB 1MLC	['table 1', 'table 2', 'table 3', 'table 4', 'table 5', 'figure 4', 'figure 5', 'figure 6', 'figure 7', 'figure 9', 'figure 10', 'pdb 1mlc']
