mhc_elution_id	h_age
3464908	young and old
3464909	old
3464910	young and old
3464911	old
3464912	young and old
3465093	old
3465094	young and old
3465095	old
3465096	young and old
3465097	old
3465098	young and old
3465099	old
3465100	young and old
3465101	old
3465102	young and old
3465103	old
3465104	young and old
3465287	old
3465288	young and old
3465289	old
3465290	young and old
3465291	old
3465292	young and old
3465293	old
3465294	young and old
3465295	old
3465296	young and old
3465297	old
3465298	young and old
3465531	old
3465532	young and old
3465533	old
3465534	young and old
3465535	old
3465536	young and old
3465537	old
3465538	young and old
3465539	old
3465540	young and old
3465541	old
3465542	young and old
3463733	young and old
3463734	old
3463735	young and old
3463736	old
3463737	young and old
3463738	old
3463739	young and old
3463740	old
3463741	young and old
3463796	old
3463797	young and old
3463798	old
3463799	young and old
3463800	old
3463801	young and old
3463802	old
3463803	young and old
3463804	old
3463805	young and old
3463806	old
3463807	young and old
3463987	young and old
3463988	old
3463989	young and old
3463990	old
3463991	young and old
3463992	old
3463993	young and old
3463994	old
3463995	young and old
3463996	old
3463997	young and old
3463998	old
3464177	old
3464178	young and old
3464179	old
3464180	young and old
3464182	old
3464183	young and old
3464185	old
3464186	young and old
3464188	old
3464189	young and old
3464384	young and old
3464386	old
3464387	young and old
3464388	old
3464389	young and old
3464390	old
3464391	young and old
3464392	old
3464393	young and old
3464394	old
3464395	young and old
3464530	old
3464531	young and old
3464532	old
3464533	young and old
3464534	old
3464535	young and old
3464717	young and old
3464718	old
3464719	young and old
3464720	old
3464721	young and old
3464722	old
3464723	young and old
3464724	old
3464725	young and old
3464726	old
3464727	young and old
3464913	old
3464914	young and old
3464915	old
3464916	young and old
3464917	old
3464918	young and old
3464919	old
3464920	young and old
3464921	old
3464922	young and old
3464923	old
3464924	young and old
3465105	old
3465106	young and old
3465107	old
3465108	young and old
3465109	old
3465110	young and old
3465111	old
3465112	young and old
3465113	old
3465114	young and old
3465115	old
3465116	young and old
3465299	old
3465300	young and old
3465301	old
3465302	young and old
3465303	old
3465304	young and old
3465305	old
3465306	young and old
3465307	old
3465308	young and old
3465309	old
3465310	young and old
3465543	old
3465544	young and old
3465545	old
3465546	young and old
3465548	old
3465549	young and old
3465551	old
3465552	young and old
3465553	old
3465554	young and old
3465555	old
3463808	old
3463809	young and old
3463810	old
3463811	young and old
3463812	old
3463813	young and old
3463815	old
3463816	young and old
3463817	old
3463818	young and old
3463819	old
3463999	young and old
3464000	old
3464001	young and old
3464002	old
3464003	young and old
3464004	old
3464005	young and old
3464006	old
3464007	young and old
3464008	old
3464009	young and old
3464010	old
3464190	old
3464191	young and old
3464192	old
3464193	young and old
3464194	old
3464195	young and old
3464197	old
3464198	young and old
3464199	old
3464200	young and old
3464201	old
3464396	old
3464397	young and old
3464398	old
3464399	young and old
3464401	old
3464402	young and old
3464404	old
3464405	young and old
3464406	old
3464407	young and old
3464536	old
3464537	young and old
3464538	old
3464539	young and old
3464540	old
3464541	young and old
3464543	old
3464544	young and old
3464545	old
3464546	young and old
3464547	old
3464729	old
3464730	young and old
3464731	old
3464732	young and old
3464733	old
3464734	young and old
3464735	old
3464736	young and old
3464737	old
3464738	young and old
3464739	old
3464740	young and old
3464925	old
3464926	young and old
3464927	old
3464928	young and old
3464929	old
3464930	young and old
3464931	old
3464932	young and old
3464933	old
3464934	young and old
3464935	old
3464936	young and old
3465117	old
3465118	young and old
3465119	old
3465120	young and old
3465121	old
3465122	young and old
3465123	old
3465124	young and old
3465125	old
3465126	young and old
3465127	old
3465128	young and old
3465311	old
3465312	young and old
3465313	old
3465314	young and old
3465315	old
3465316	young and old
3465317	old
3465318	young and old
3465319	old
3465320	young and old
3465321	old
3465322	young and old
3465423	old
3465424	young and old
3465426	old
3465427	young and old
3465428	old
3465429	young and old
3465430	old
3465431	young and old
3465433	old
3465434	young and old
3463820	young and old
3463821	old
3463822	young and old
3463823	old
3463824	young and old
3463825	old
3463826	young and old
3463827	old
3463828	young and old
3463829	old
3463830	young and old
3463831	old
3464011	young and old
3464012	old
3464013	young and old
3464014	old
3464015	young and old
3464016	old
3464017	young and old
3464018	old
3464019	young and old
3464020	old
3464021	young and old
3464022	old
3464202	young and old
3464203	old
3464204	young and old
3464205	old
3464206	young and old
3464207	old
3464208	young and old
3464209	old
3464210	young and old
3464211	old
3464212	young and old
3464213	old
3464409	old
3464410	young and old
3464412	old
3464413	young and old
3464414	old
3464415	young and old
3464417	old
3464418	young and old
3464419	old
3464420	young and old
3464548	young and old
3464549	old
3464550	young and old
3464551	old
3464552	young and old
3464553	old
3464554	young and old
3464555	old
3464556	young and old
3464558	old
3464559	young and old
3464742	old
3464743	young and old
3464744	old
3464745	young and old
3464747	old
3464748	young and old
3464749	old
3464750	young and old
3464751	old
3464752	young and old
3464938	old
3464939	young and old
3464940	old
3464941	young and old
3464942	old
3464943	young and old
3464944	old
3464945	young and old
3464946	old
3464947	young and old
3464948	old
3465129	old
3465130	young and old
3465131	old
3465132	young and old
3465133	old
3465134	young and old
3465135	old
3465136	young and old
3465137	old
3465138	young and old
3465139	old
3465140	young and old
3465323	old
3465324	young and old
3465325	old
3465326	young and old
3465327	old
3465328	young and old
3465329	old
3465330	young and old
3465331	old
3465332	young and old
3465333	old
3465334	young and old
3465435	old
3465436	young and old
3465437	old
3465438	young and old
3465439	old
3465440	young and old
3465441	old
3465442	young and old
3465443	old
3465444	young and old
3465445	old
3465446	young and old
3463832	young and old
3463833	old
3463834	young and old
3463835	old
3463836	young and old
3463837	old
3463838	young and old
3463839	old
3463840	young and old
3463841	old
3463842	young and old
3463843	old
3464023	young and old
3464024	old
3464025	young and old
3464026	old
3464027	young and old
3464028	old
3464029	young and old
3464030	old
3464031	young and old
3464032	old
3464033	young and old
3464214	young and old
3464215	old
3464216	young and old
3464217	old
3464218	young and old
3464219	old
3464220	young and old
3464221	old
3464222	young and old
3464223	old
3464224	young and old
3464225	old
3464421	old
3464422	young and old
3464423	old
3464424	young and old
3464426	old
3464427	young and old
3464428	old
3464429	young and old
3464430	old
3464431	young and old
3464432	old
3464560	old
3464561	young and old
3464562	old
3464563	young and old
3464564	old
3464565	young and old
3464566	old
3464567	young and old
3464568	old
3464569	young and old
3464570	old
3464571	young and old
3464753	old
3464754	young and old
3464756	old
3464757	young and old
3464759	old
3464760	young and old
3464761	old
3464762	young and old
