mhc_elution_id	h_age
3956363	adult
3956370	adult
3956371	adult
3956372	adult
3956882	adult
3956883	adult
3956889	adult
3957086	adult
3957087	adult
3957088	adult
3957089	adult
3957090	adult
3957091	adult
3957092	adult
3957095	adult
3957096	adult
3957172	adult
3957171	adult
3957226	adult
3957228	adult
3957230	adult
3957232	adult
3957234	adult
3957235	adult
3957471	adult
3957486	adult
3957594	adult
3957597	adult
3957601	adult
3957604	adult
3957607	adult
3957845	adult
3957847	adult
3957850	adult
3957852	adult
3958093	adult
3958101	adult
3958103	adult
3958342	adult
3958345	adult
3955428	adult
3955429	adult
3955432	adult
3955437	adult
3955439	adult
3955440	adult
3955658	adult
3955659	adult
3955661	adult
3955663	adult
3955665	adult
3955668	adult
3955890	adult
3955893	adult
3955896	adult
3955902	adult
3956125	adult
3956128	adult
3956133	adult
3956136	adult
3956378	adult
3956380	adult
3956386	adult
3956387	adult
3956901	adult
3956903	adult
3956904	adult
3956906	adult
3956907	adult
3956908	adult
3956909	adult
3957099	adult
3957100	adult
3957101	adult
3957102	adult
3957103	adult
3957104	adult
3957105	adult
3957106	adult
3957109	adult
3957160	adult
3957159	adult
3957240	adult
3957242	adult
3957243	adult
3957245	adult
3957249	adult
3957251	adult
3957491	adult
3957492	adult
3957493	adult
3957496	adult
3957501	adult
3957620	adult
3957622	adult
3957858	adult
3957862	adult
3957868	adult
3957871	adult
3958106	adult
3958110	adult
3958113	adult
3958120	adult
3958349	adult
3958351	adult
3958354	adult
3955442	adult
3955443	adult
3955449	adult
3955451	adult
3955455	adult
3955671	adult
3955672	adult
3955674	adult
3955676	adult
3955678	adult
3955681	adult
3955684	adult
3955907	adult
3955913	adult
3956139	adult
3956143	adult
3956147	adult
3956150	adult
3959082	adult
3959089	adult
3959091	adult
3959096	adult
3959322	adult
3959324	adult
3959325	adult
3959326	adult
3959327	adult
3959329	adult
3959331	adult
3959332	adult
3959556	adult
3959546	adult
3959560	adult
3959789	adult
3959790	adult
3959791	adult
3959792	adult
3959793	adult
3959794	adult
3959795	adult
3959796	adult
3959797	adult
3959800	adult
3960011	adult
3960022	adult
3960259	adult
3960263	adult
3960265	adult
3960267	adult
3958598	adult
3958603	adult
3958834	adult
3958836	adult
3958840	adult
3958842	adult
3959108	adult
3959333	adult
3959335	adult
3959336	adult
3959339	adult
3959341	adult
3959342	adult
3959343	adult
3959344	adult
3959345	adult
3959567	adult
3959570	adult
3959573	adult
3959575	adult
3959803	adult
3959804	adult
3959805	adult
3959806	adult
3959807	adult
3959808	adult
3959810	adult
3959811	adult
3959801	adult
3959802	adult
3959812	adult
3960029	adult
3960030	adult
3960031	adult
3960034	adult
3960027	adult
3960039	adult
3960040	adult
3960271	adult
3960289	adult
3960298	adult
3960299	adult
3958618	adult
3958623	adult
3958625	adult
3958848	adult
3958849	adult
3958851	adult
3958854	adult
3958857	adult
3959115	adult
3959122	adult
3959126	adult
3959346	adult
3959347	adult
3959349	adult
3959350	adult
3959351	adult
3959352	adult
3959355	adult
3959356	adult
3959357	adult
3959358	adult
3959577	adult
3959579	adult
3959580	adult
3959581	adult
3959587	adult
3959589	adult
3959815	adult
3959816	adult
3959817	adult
3959818	adult
3959819	adult
3959820	adult
3959821	adult
3959822	adult
3959823	adult
3959813	adult
3959814	adult
3959824	adult
3960041	adult
3960279	adult
3960280	adult
3960281	adult
3960284	adult
3958413	adult
3958415	adult
3958626	adult
3958633	adult
3958861	adult
3958863	adult
3958866	adult
3958867	adult
3958868	adult
3958871	adult
3959141	adult
3959361	adult
3959362	adult
3959363	adult
3959365	adult
3959367	adult
3959370	adult
3959598	adult
3959592	adult
3959603	adult
3959605	adult
3959827	adult
3959828	adult
3959829	adult
3959830	adult
3959831	adult
3959834	adult
3959825	adult
3959826	adult
3959836	adult
3959837	adult
3958643	adult
3958875	adult
3959155	adult
3959159	adult
3959373	adult
3959374	adult
3959375	adult
3959379	adult
3959380	adult
3959381	adult
3959382	adult
3959383	adult
3959384	adult
3959385	adult
3959610	adult
3959840	adult
3959841	adult
3959843	adult
3959844	adult
3959845	adult
3959846	adult
3959847	adult
3959848	adult
3959849	adult
3958416	adult
3958418	adult
3958420	adult
3958895	adult
3958898	adult
3958900	adult
3958901	adult
3959166	adult
3959169	adult
3959172	adult
3959176	adult
3959386	adult
3959388	adult
3959397	adult
3959398	adult
3959400	adult
3959630	adult
3959634	adult
3959854	adult
3959856	adult
3959858	adult
3959859	adult
3959861	adult
3959851	adult
3959863	adult
3958422	adult
3958425	adult
3958429	adult
3958432	adult
3958434	adult
3958665	adult
3958666	adult
3958667	adult
3958669	adult
3958671	adult
3958672	adult
3958673	adult
3958920	adult
3959180	adult
3959183	adult
3959184	adult
3959185	adult
3959186	adult
3959190	adult
