bcell_id	h_age
1774648	neonate
1774649	neonate
1774650	neonate
1781747	adult
1774651	neonate
1774652	neonate
1774653	neonate
1774654	neonate
1774655	neonate
1774646	neonate
1774647	neonate
1774656	neonate
1774657	neonate
1774658	neonate
1774659	neonate
1774660	neonate
1774661	neonate
1774662	neonate
1774664	neonate
1774699	neonate
1774700	neonate
1774701	neonate
1774702	neonate
1774703	neonate
1774619	neonate
1774620	neonate
1774621	neonate
1774623	neonate
1774624	neonate
1774625	neonate
1774626	neonate
1774627	neonate
1774628	neonate
1774629	neonate
1774630	neonate
1774631	neonate
1774633	neonate
1774848	young
1774849	young
1774622	neonate
1774636	neonate
1774637	neonate
1774697	neonate
1774694	neonate
1774698	neonate
1774634	neonate
1774635	neonate
1716632	7 month
1716657	7 month
1716663	7 month
1503671	adult
1503675	adult
1503636	adult
1503638	adult
1508557	adult
2468465	adult
1830807	young
1831688	young
2442824	8 week
1831690	young
1857717	6-10 week
1815214	adult
1815215	adult
1815216	adult
1815253	adult
1815257	adult
1815261	adult
1815217	adult
1815281	adult
1815282	adult
1815283	adult
1815280	adult
1815294	adult
1815304	adult
1815305	adult
1815306	adult
1815223	adult
1815224	adult
1815225	adult
1815226	adult
1815227	adult
1815228	adult
1815229	adult
1815230	adult
1815231	adult
1815271	adult
1857713	6-10 week
1857710	6-10 week
1857708	6-10 week
1857715	6-10 week
1857712	6-10 week
1857714	6-10 week
1859803	6-10 week
1859804	6-10 week
1859809	6-10 week
1859810	6-10 week
1859805	6-10 week
1859806	6-10 week
1859807	6-10 week
1859808	6-10 week
1863371	6-10 week
1863368	6-10 week
1883881	adult
1883883	adult
1845980	adult
1922446	adult
1907488	adult
1907489	adult
1907487	adult
1907490	adult
1907492	adult
1907493	adult
1907494	adult
1907491	adult
1907484	adult
1907485	adult
1907486	adult
1930515	adult
1911156	adult
1917113	adult
1911162	adult
1911164	adult
1907483	adult
1936426	adult
1936434	adult
1936442	adult
1936428	adult
1936430	adult
1936432	adult
1936436	adult
1936438	adult
1936440	adult
1936444	adult
1936446	adult
1936448	adult
1911163	adult
1953358	adult
1953361	adult
1953357	adult
1953347	adult
1953348	adult
1953349	adult
1953359	adult
1953350	adult
1953352	adult
1953356	adult
2007755	adult
2007743	adult
2007744	adult
2007745	adult
2007746	adult
2007747	adult
2007748	adult
2007749	adult
2007756	adult
2007757	adult
2007758	adult
2007759	adult
2007760	adult
2007761	adult
2007762	adult
2007763	adult
2007764	adult
2007765	adult
2007766	adult
2007767	adult
2007768	adult
2007769	adult
2007770	adult
2007771	adult
2007772	adult
2007773	adult
2007774	adult
2007775	adult
2007776	adult
2007722	adult
2007723	adult
2007731	adult
2007732	adult
2007733	adult
2007734	adult
2007735	adult
2007736	adult
2007737	adult
2007738	adult
2007739	adult
2007740	adult
2007741	adult
2007750	adult
2007751	adult
2007752	adult
2007753	adult
2007754	adult
2007724	adult
2007725	adult
2007726	adult
2007727	adult
2007728	adult
2007729	adult
2007730	adult
2007742	adult
2000479	1 year
2008910	neonate
2008911	neonate
2008912	neonate
2008918	neonate
2008919	neonate
2008913	neonate
2008907	neonate
2008908	neonate
2009553	adult
2009555	adult
2009550	adult
1801430	adult
1824865	adult
1800745	adult
1800746	adult
2621230	1 year
2621231	1 year
2621232	1 year
2621235	1 year
2621236	1 year
2621237	1 year
2606526	1 year
2827797	adult
2827798	adult
2827752	adult
2827753	adult
2827762	adult
2606528	1 year
2691723	adult
2691727	adult
2606527	1 year
2382087	1 year
2371696	adult
2382086	1 year
2371566	adult
2855304	adult
2855305	adult
2855298	adult
2855299	adult
2855300	adult
2855301	adult
2855303	adult
2855306	adult
2855307	adult
2855308	adult
2855309	adult
2467481	adult
2461474	adult
2467482	adult
2467483	adult
2467484	adult
2467485	adult
2467486	adult
2467487	adult
2467488	adult
2467489	adult
2467491	adult
2467492	adult
2467493	adult
2467494	adult
2467503	adult
2467504	adult
2467505	adult
2461490	adult
2467490	adult
2467495	adult
2467496	adult
2467499	adult
2467501	adult
2467507	adult
2467508	adult
2467509	adult
2467510	adult
2467511	adult
2467512	adult
2467519	adult
2467520	adult
2467521	adult
2467498	adult
2467497	adult
2467502	adult
2466083	adult
2461475	adult
2461479	neonate
2461476	neonate
2461478	neonate
2827574	adult
2827575	adult
2827576	adult
2827577	adult
2833021	adult
3064610	5 week
2962019	8 week
2924369	1 week
2924370	1 week
2924371	1 week
2924372	1 week
2924373	1 week
3064612	5 week
3064613	5 week
3064614	5 week
3064615	5 week
3064616	5 week
3064617	5 week
3064618	5 week
3064619	5 week
3064620	5 week
3064621	5 week
3064622	5 week
2962016	8 week
3113238	5 week
3113239	5 week
3137784	adult
3137783	adult
3137785	adult
3137786	adult
3137787	adult
3137788	adult
3137789	adult
3137790	adult
3137791	adult
3137792	adult
3137793	adult
3137794	adult
2858944	adult
2858945	adult
3064611	5 week
2858946	adult
3802889	newborn
3802890	newborn
3802891	newborn
3802892	newborn
5032169	adult
3350954	8 week
3350955	8 week
3350956	8 week
3350957	8 week
3350958	8 week
3350959	8 week
3350960	8 week
3350961	8 week
5032175	adult
3350962	8 week
3350963	8 week
3350964	8 week
3350965	8 week
3350966	8 week
3350967	8 week
3350968	8 week
3350969	8 week
3350970	8 week
3477138	5 week
3477139	5 week
3477140	5 week
3477141	5 week
3477142	5 week
3477143	5 week
3477308	5 week
3477310	5 week
3930133	young
3477123	5 week
3477124	5 week
3477126	5 week
3477128	5 week
3477129	5 week
3477131	5 week
3477132	5 week
3477133	5 week
3955160	1 week
3955162	1 week
3955163	1 week
3955165	1 week
3955166	1 week
3955168	1 week
3955169	1 week
3796833	12 week
3796834	12 week
3955171	1 week
3955172	1 week
3955174	1 week
3955175	1 week
3955177	1 week
3796835	12 week
3796837	12 week
3955180	1 week
3955181	1 week
3955183	1 week
3955184	1 week
3955178	1 week
3802199	juvenile
3802200	juvenile
4072643	1 week
4829705	adult
4829706	adult
4829707	adult
4829708	adult
