bcell_id	h_age
1341177	Adult (18-49)
1342701	up to 12 weeks old
1342702	up to 12 weeks old
1342681	up to 12 weeks old
1342682	up to 12 weeks old
1345658	Children and adults
1345659	Children and adults
1279990	14 and younger
1279923	14 and younger
1279924	14 and younger
1279926	14 and younger
1279958	14 and younger
1279961	14 and younger
1279962	14 and younger
1279697	14 and younger
1279698	14 and younger
1279937	14 and younger
1279984	14 and younger
1279985	14 and younger
1279988	14 and younger
1279991	14 and younger
1279996	14 and younger
1279998	14 and younger
1280002	14 and younger
1279581	14 and younger
1342693	up to 12 weeks old
1342694	up to 12 weeks old
1279583	14 and younger
1330942	Children and adults
1330945	Children and adults
1279874	14 and younger
1279878	14 and younger
1279879	14 and younger
1279880	14 and younger
1342700	up to 12 weeks old
1342695	up to 12 weeks old
1279584	14 and younger
1279701	14 and younger
1279702	14 and younger
1279394	14 and younger
1279400	14 and younger
1279870	14 and younger
1279871	14 and younger
1279873	14 and younger
1279897	14 and younger
1279899	14 and younger
1279903	14 and younger
1279932	14 and younger
1342538	up to 12 weeks old
1342539	up to 12 weeks old
1279370	14 and younger
1279371	14 and younger
1279374	14 and younger
1279376	14 and younger
1279378	14 and younger
1279709	14 and younger
1279710	14 and younger
1279356	14 and younger
1279365	14 and younger
1279369	14 and younger
1279379	14 and younger
1279358	14 and younger
1279360	14 and younger
1279405	14 and younger
1279407	14 and younger
1279411	14 and younger
1279413	14 and younger
1341641	Children and adults
1279555	14 and younger
1279557	14 and younger
1279559	14 and younger
1279686	14 and younger
1279607	14 and younger
1279610	14 and younger
1279611	14 and younger
1341792	2 to >20 years
1341794	2 to >20 years
1341795	2 to >20 years
1341797	2 to >20 years
1341799	2 to >20 years
1279703	14 and younger
1279704	14 and younger
1279599	14 and younger
1279600	14 and younger
1279601	14 and younger
1279604	14 and younger
1279605	14 and younger
1279615	14 and younger
1279414	14 and younger
1279417	14 and younger
1280005	14 and younger
1280009	14 and younger
1280011	14 and younger
1341929	Adutls
1279549	14 and younger
1341800	2 to >20 years
1279419	14 and younger
1279421	14 and younger
1279424	14 and younger
1279705	14 and younger
1279708	14 and younger
1279620	14 and younger
1279621	14 and younger
1279622	14 and younger
1279624	14 and younger
1279626	14 and younger
1279627	14 and younger
1279551	14 and younger
1279553	14 and younger
1279616	14 and younger
1279617	14 and younger
1279612	14 and younger
1279712	14 and younger
1279628	14 and younger
1341829	Children and adults
1279462	14 and younger
1279463	14 and younger
1279715	14 and younger
1279717	14 and younger
1279441	14 and younger
1279442	14 and younger
1279444	14 and younger
1279587	14 and younger
1279589	14 and younger
1279590	14 and younger
1341637	Children and adults
1341639	Adutls
1279464	14 and younger
1279467	14 and younger
1279591	14 and younger
1279691	14 and younger
1279692	14 and younger
1279696	14 and younger
