h_age	occurrences
> 1.5 years	3
> 4 years	3
24 to 82 years	5111
21 to 86 years	4
3 years old	2
3 to 14 years	63
31.63 +/- 1.37 years	23
8- to 10-week-old	2
5 weeks.	1
mean age = 37.7 years	26
mean age = 46 years	11
43.62 +/- 1.07 years	2
23 to 27 weeks	2
35 to 65 years	8
12-14 weeks old	2
< 30 years	3
2 to 65 years	407
18–55 years	9
51.4 +/- 18 years	71
29 +/- 9 days	21
20 to 34 years	8
22 to 34 years	10
> 2 months	10
72.5±5.2 years	1
72.3±6.7 years	1
mean age = 38.6 years	1
5-59 years old	6
6–8weeks old	8
8–12 weeks	13
32-68 years old	1
mean age = 13.8 years	26
36.47 +/- 12.46 years	1
40.15 +/- 8.8 years	1
53 +/- 11 years	5
21 to 60 years	3
8 - 10 weeks	60
18-28 years old	1
18-41 years old	1
10–14-week old	15
mean age = 65.6 years	1
< 3 years	34
35 to 40 days	133
35-75 years old	1
Mean age: 32.56 years	1
Mean age: 34 years	1
4 to 6 week old	1
1.1–69 years	4
7-8 weeks old	32
39.0 +/- 13.8 years	25
27 to 60 years	6
27 to 77 years	58
33 to 84 years	58
6 to 38 years	5
35 to 56 years	15
44.1 +/- 13.2 years	6
41.5 +/- 9.8 years	3
7.5 to 16.5 years	2
37.0 +/- 12.6 years	25
6 - 10 weeks	89
4 to 6 months	17
5 to 38 years	34
2 to 15 years	8
8 +/- 3 years	8
5 week old	12
60 to 77 years	2
27 to 37 years	3
28 to 39 years	3
38+/- 11 years	22
6 - 8 weeks	1822
2 to 73 years	3
median age 21 years	3
36 to 47 years	3
70 +/- 9 years	3
16 to 55 years	19
64 to 76 years	2
3-48 years old	439
31 to 49 years	2
15 to 67 years	10
21 to 84 years	10
18 to 55 years	41
16 to 84 years	10
mean age = 40.3 years	4
10 to 801 days	2
Four-week-old	2
8-week-old	6
18 to 45 years	45
3-70 years old	335
3 - 4 weeks	20
3 to 56 years	2
2 to 47 years	2
mean age = 63 years	4
