bcell_id	h_age
1771687	77
1771688	77
1771525	38-73
1771530	38-73
1771532	38-73
1771537	38-73
1771542	38-73
1771543	38-73
1771548	38-73
1771570	38-73
1771575	38-73
1771553	38-73
1771558	38-73
1771563	38-73
1771565	38-73
1771576	38-73
1771581	38-73
1771586	38-73
1771587	38-73
1771592	38-73
1771597	38-73
1771598	38-73
1771521	38-73
1771518	38-73
1771700	77
1771704	77
1771603	38-73
1771608	38-73
1771686	77
1771675	77
1771678	77
1768858	21 months-45 years
1768859	21 months-45 years
1761276	18-35
1761275	18-35
1761277	18-35
1510594	14-57
1510486	14-57
1510597	14-57
1510396	14-57
1510516	14-57
1510398	14-57
1510399	14-57
1509526	23-53
1509530	23-53
1510397	14-57
2116319	8 mo to 35 years
2116320	8 mo to 35 years
2116321	8 mo to 35 years
2116322	8 mo to 35 years
2116323	8 mo to 35 years
2116324	8 mo to 35 years
2116326	8 mo to 35 years
2117075	8 mo to 35 years
2116327	8 mo to 35 years
2116328	8 mo to 35 years
2116329	8 mo to 35 years
2116330	8 mo to 35 years
2116315	8 mo to 35 years
2116314	8 mo to 35 years
2116316	8 mo to 35 years
2116317	8 mo to 35 years
2116318	8 mo to 35 years
2117085	8 mo to 35 years
2117086	8 mo to 35 years
2117087	8 mo to 35 years
2117088	8 mo to 35 years
2117089	8 mo to 35 years
2117090	8 mo to 35 years
2117091	8 mo to 35 years
2116240	8 mo to 35 years
2116241	8 mo to 35 years
2116242	8 mo to 35 years
2116270	8 mo to 35 years
2116273	8 mo to 35 years
2116274	8 mo to 35 years
2116275	8 mo to 35 years
2116288	8 mo to 35 years
2116271	8 mo to 35 years
2116272	8 mo to 35 years
2116276	8 mo to 35 years
2116277	8 mo to 35 years
2116278	8 mo to 35 years
2116279	8 mo to 35 years
2116281	8 mo to 35 years
2116282	8 mo to 35 years
2116289	8 mo to 35 years
2116290	8 mo to 35 years
1821247	24.92 +/- 0.84
1821241	24.92 +/- 0.84
1821253	24.92 +/- 0.84
1821244	24.92 +/- 0.84
1821250	24.92 +/- 0.84
1821257	24.92 +/- 0.84
1821260	24.92 +/- 0.84
1821263	24.92 +/- 0.84
1821266	24.92 +/- 0.84
1819880	24.92 +/- 0.84
1821205	24.92 +/- 0.84
1821215	24.92 +/- 0.84
1821217	24.92 +/- 0.84
1821208	24.92 +/- 0.84
1821211	24.92 +/- 0.84
1821219	24.92 +/- 0.84
1821226	24.92 +/- 0.84
1821229	24.92 +/- 0.84
1821213	24.92 +/- 0.84
1821221	24.92 +/- 0.84
1818977	67
1818978	67
1818979	67
1818975	67
1818976	67
1818973	67
1818974	67
1818972	67
1821238	24.92 +/- 0.84
1960341	6 months to 3 years
1960342	6 months to 3 years
1960340	6 months to 3 years
1821232	24.92 +/- 0.84
1960357	6 months to 3 years
1816956	67
1816959	67
1816958	67
1816961	67
1816960	67
1960348	6 months to 3 years
1816964	67
1960343	6 months to 3 years
1816963	67
1960336	6 months to 3 years
1960337	6 months to 3 years
1960338	6 months to 3 years
2116313	8 mo to 35 years
1960339	6 months to 3 years
1960352	6 months to 3 years
1960353	6 months to 3 years
1960354	6 months to 3 years
1960355	6 months to 3 years
1960356	6 months to 3 years
1960349	6 months to 3 years
1960350	6 months to 3 years
1960351	6 months to 3 years
1960362	6 months to 3 years
1960363	6 months to 3 years
1816952	67
1960358	6 months to 3 years
1960359	6 months to 3 years
1960360	6 months to 3 years
1960361	6 months to 3 years
1960345	6 months to 3 years
1960346	6 months to 3 years
1960347	6 months to 3 years
1960344	6 months to 3 years
1821235	24.92 +/- 0.84
1902999	57-59
1902957	23-66
1902958	23-66
1902959	26-48
1902960	26-48
1902961	26-48
1902962	19-66
1902965	40-42
1902971	57-59
1902972	57-59
1902973	57-59
1902974	57-59
1902975	57-59
1902979	63-64
1902980	63-64
1902981	63-64
1902982	31-32
1902983	31-32
1902984	31-32
1902985	31-32
1902986	31-32
1902987	31-32
1902989	31-32
1902990	31-32
1902991	40-42
1902992	40-42
1902993	40-42
1902994	57-59
1902995	57-59
1902969	44-47
1902967	40-42
1902978	57-59
1902988	31-32
1902996	40-42
1902997	40-42
1902998	57-59
1903640	40
1903641	40
1903642	40
1903643	44
1903644	44
1903645	44
1903646	44
1907649	3 weeks-15 years
1903876	57
1903882	57
1903883	57
1903884	57
1903885	57
1903886	57
1903941	57
1903942	57
1903943	57
1903944	57
1903945	57
1903908	57
1903909	57
1903910	57
1903911	57
1903912	57
1903913	57
1903914	57
1903915	57
1903916	57
1903935	57
1903936	57
1903937	57
1903938	57
1903939	57
1903940	57
1903946	57
1903894	38
1903895	38
1903896	38
1903897	38
1903887	57
1903888	57
1903889	57
1903890	38
1903891	38
1903898	38
1903892	38
1903893	38
1907686	3 weeks-15 years
1907693	3 weeks-15 years
1907694	3 weeks-15 years
1907687	3 weeks-15 years
1907688	3 weeks-15 years
1907689	3 weeks-15 years
1907690	3 weeks-15 years
1907691	3 weeks-15 years
1907692	3 weeks-15 years
1907695	3 weeks-15 years
1907331	35
1907330	35
1907663	3 weeks-15 years
1907664	3 weeks-15 years
1907675	3 weeks-15 years
1907682	3 weeks-15 years
1907684	3 weeks-15 years
1907683	3 weeks-15 years
1907685	3 weeks-15 years
1960261	6 months to 3 years
1960262	6 months to 3 years
1960263	6 months to 3 years
1960264	6 months to 3 years
1960265	6 months to 3 years
1960266	6 months to 3 years
1960267	6 months to 3 years
1960274	6 months to 3 years
1960275	6 months to 3 years
1960276	6 months to 3 years
1960283	6 months to 3 years
1960284	6 months to 3 years
1960268	6 months to 3 years
1960269	6 months to 3 years
1960270	6 months to 3 years
1960271	6 months to 3 years
1960272	6 months to 3 years
1960273	6 months to 3 years
1960277	6 months to 3 years
1960278	6 months to 3 years
1960279	6 months to 3 years
1960280	6 months to 3 years
1960281	6 months to 3 years
1960282	6 months to 3 years
1960285	6 months to 3 years
1960286	6 months to 3 years
1960287	6 months to 3 years
1960288	6 months to 3 years
1960289	6 months to 3 years
1960290	6 months to 3 years
1966474	31.7+/-4.5
1966475	31.7+/-4.5
1966454	31.6+/-5.4
1966455	31.6+/-5.4
1966472	31.7+/-4.5
1966473	31.7+/-4.5
1966335	31.6+/-5.4
1966336	31.6+/-5.4
2117076	8 mo to 35 years
2117074	8 mo to 35 years
2117073	8 mo to 35 years
1983951	6 months to 53 years
2024079	1 month - 13 years
2024081	1 month - 13 years
2024083	1 month - 13 years
2024022	1 month - 13 years
2024076	1 month - 13 years
2024027	1 month - 13 years
2024085	1 month - 13 years
2024087	1 month - 13 years
2024093	1 month - 13 years
2024095	1 month - 13 years
2024101	1 month - 13 years
2024103	1 month - 13 years
2024089	1 month - 13 years
2024091	1 month - 13 years
2024097	1 month - 13 years
2024099	1 month - 13 years
2024105	1 month - 13 years
2024107	1 month - 13 years
2475597	42.18+/-13.23
2475598	44.94+/-15.65
2475599	42.18+/-13.23
2475600	44.94+/-15.65
2475601	42.18+/-13.23
2475596	44.94+/-15.65
2475602	44.94+/-15.65
2117077	8 mo to 35 years
2117083	8 mo to 35 years
2469901	42.18+/-13.23
1796049	28-82
1796615	2.8 to 4.2
1796620	2.8 to 4.2
2683500	1 day to 103 years
2683501	1 day to 103 years
2683502	1 day to 103 years
2683503	1 day to 103 years
2683493	1 day to 103 years
2683494	1 day to 103 years
2683495	1 day to 103 years
2683496	1 day to 103 years
2683492	1 day to 103 years
2487670	12-30
2683497	1 day to 103 years
2683498	1 day to 103 years
2683499	1 day to 103 years
2373861	6 months to 14 years
2373862	6 months to 14 years
2373863	6 months to 14 years
2373864	6 months to 14 years
2373865	6 months to 14 years
2373867	6 months to 14 years
2373868	6 months to 14 years
2373869	6 months to 14 years
2373870	6 months to 14 years
2373871	6 months to 14 years
2373894	6 months to 14 years
2373895	6 months to 14 years
2373896	6 months to 14 years
2373897	6 months to 14 years
2373866	6 months to 14 years
2373892	6 months to 14 years
2373893	6 months to 14 years
2373898	6 months to 14 years
2373899	6 months to 14 years
2373900	6 months to 14 years
2373901	6 months to 14 years
2373902	6 months to 14 years
2373903	6 months to 14 years
2373904	6 months to 14 years
2373905	6 months to 14 years
2373906	6 months to 14 years
2373907	6 months to 14 years
2373908	6 months to 14 years
2373909	6 months to 14 years
2373910	6 months to 14 years
2373911	6 months to 14 years
2373912	6 months to 14 years
2373913	6 months to 14 years
2373914	6 months to 14 years
2373915	6 months to 14 years
2373916	6 months to 14 years
2373917	6 months to 14 years
2373918	6 months to 14 years
2373919	6 months to 14 years
2373920	6 months to 14 years
2373922	6 months to 14 years
2373923	6 months to 14 years
2373925	6 months to 14 years
2373926	6 months to 14 years
2373927	6 months to 14 years
2373928	6 months to 14 years
2373930	6 months to 14 years
2373934	6 months to 14 years
2373941	6 months to 14 years
2373942	6 months to 14 years
2373943	6 months to 14 years
2373944	6 months to 14 years
2373946	6 months to 14 years
2373921	6 months to 14 years
2373929	6 months to 14 years
2373931	6 months to 14 years
2373932	6 months to 14 years
2373933	6 months to 14 years
2373935	6 months to 14 years
2373937	6 months to 14 years
2373938	6 months to 14 years
2373939	6 months to 14 years
2373940	6 months to 14 years
2373947	6 months to 14 years
2373948	6 months to 14 years
2373949	6 months to 14 years
2373950	6 months to 14 years
2373951	6 months to 14 years
2373952	6 months to 14 years
2373953	6 months to 14 years
2373954	6 months to 14 years
2373955	6 months to 14 years
2373956	6 months to 14 years
2373957	6 months to 14 years
2373958	6 months to 14 years
2373813	6 months to 14 years
2373959	6 months to 14 years
2373960	6 months to 14 years
2373961	6 months to 14 years
2373962	6 months to 14 years
2373815	6 months to 14 years
2373816	6 months to 14 years
2373817	6 months to 14 years
2373963	6 months to 14 years
2373964	6 months to 14 years
2373965	6 months to 14 years
2373818	6 months to 14 years
2373819	6 months to 14 years
2373820	6 months to 14 years
2373821	6 months to 14 years
2373822	6 months to 14 years
2373824	6 months to 14 years
2373825	6 months to 14 years
2373826	6 months to 14 years
2373827	6 months to 14 years
2373828	6 months to 14 years
2373854	6 months to 14 years
2373966	6 months to 14 years
2373967	6 months to 14 years
2373968	6 months to 14 years
2373969	6 months to 14 years
2373823	6 months to 14 years
2373970	6 months to 14 years
2373971	6 months to 14 years
2373972	6 months to 14 years
2373973	6 months to 14 years
2373974	6 months to 14 years
2373975	6 months to 14 years
2373977	6 months to 14 years
2373978	6 months to 14 years
2373979	6 months to 14 years
