h_age	occurrences
50-80 years	34
23-64 years	32
12-74 years	2
4-15 months	6
36-63 years	3235
49-72 years	3235
8-46 years	43
12-15 months	17
27-54 years	80
20-84 years	3
60 days	6
9.5 months	3
13-34 years	1
22-85 years	2
2-15 years	22
37-57 years	4
21-63 years	115
60 years	3676
58 years	47769
43-70 years	2
34-48 years	2
62 years	203
48 months	15
5-13 weeks	6
30-80 years	13
20-24 weeks	25
1-2 years	43
6.5 months	5
13 weeks	1
2-65 years	82
18-19 weeks	13
10-64 years	14
24-61 years	7
5-14 years	15
1-13 years	7
5-16 years	8
18-74 years	20
26-96 years	3
9-12 weeks	70
16-46 years	4
54-64 years	9
6 or 12 months	5
55-79 years	2
20-46 years	1287
55 years	584
51-74 years	3
27 weeks	17
34-71 years	2
5-12 months	3
34-68 years	1
44-74 years	6
32-82 years	16
34-82 years	1
3.4-86 years	3
38-54 weeks	1
4-43 years	39
2 years	844
8-36 years	174
13-22 years	10
28-42 years	21
18-85 years	318
0-96 years	2
38-79 years	2
10-77 years	1
47-88 years	6
20-72 years	134
4.5-12.1 years	1
35-84 years	38
35-85 years	79
17-72 years	16
18-33 years	6
18-82 years	182
31-66 years	31
22-63 years	1
27-105 years	16
42-61 years	87
50-70 years	75
4-9 years	60
34-75 years	4
28-59 years	19
17-95 years	3
13-81 years	10
16-84 years	37
39-65 years	28
1-60 years	10
10-17 years	72
3-41 years	5
12-73 years	78
23-59 years	38
1-55 years	56
15-50 years	23
1-24 years	8
18-58 years	153
2.2-47.9 years	12
48-93 years	4
59 years	2048
10 years	432
19-66 years	1
66 years	129
1.1-20 years	2
7-20 weeks	2
2-8 years	47
4-7 years	23
20-45 years	397
4-10 years	41
44-52 weeks	158
123 days	69
1 week	30
21-94 years	4
7-12 months	108
4-16 years	40
8 years	1736
4-54 years	26
8-34 years	148
12-13 weeks	24
12-15 years	2
5-32 years	2
19-86 years	9
23-33 years	24
21 years	113
18-61 years	12
29-50 years	2
1-23 years	6
1-14 years	11
2-40 years	6
8-30 years	29
85 days	10
2 days	10
18-45 years	263
40-67 years	32
26-72 years	61
15 weeks	91
18-40 years	2038
51-70 years	46
9-51 years	14
60-83 years	24
10-70 years	56
56-64 years	1
23-80 years	13
9-61 years	18
17-59 years	6539
51-81 years	1
23-77 years	22
12-35 years	5
23-39 years	346
23-29 years	11
18-66 years	20
6 days	1
24-45 years	35
45-62 years	1
1-12 years	297
2.8 months	6
3-6 years	81
10.6 months	4
10-45 years	17
13-48 years	5
40 days	2
2-7 years	27
19-74 years	138
46-63 years	16
43-65 years	16
9 days	12
20-56 years	52
24-35 years	2
18-69 years	143
juvenile	7
5-70 years	12
10-19 years	1
10-29 years	1
33-62 years	87
21-36 years	9
42-71 years	1
60-87 years	1
72-75 years	2
19-46 years	24
53 years	54494
1-51 years	13
2-4 years	8
1-25 years	526
58-70 years	3
5-9 weeks	7
56-73 years	1
18-90 years	18
11-68 years	1
13-75 years	5
53.2 years	4
51.0 years	4
34.3 years	4
36.1 years	4
6-37 years	28
15-21 years	27
46-91 years	6
18-91 years	65
44 years	3276
5-18 years	38
26-51 years	25
14-71 years	1
12 years	42
10 days	22
28-36 years	83
1-39 years	12
14-50 years	1170
36-56 years	4
46-73 years	10
47-71 years	1
28-56 years	20
27-56 years	1
12-58 years	2024
16-38 years	1
