h_age,occurrences
"3-25 years",15
"40-75 years",15
"7 to 55 years",15
38,15
"6 to 16 years",15
"12-44 years",15
"3-6 months",15
"6 to 28 years",15
"35 to 56 years",15
"48 months",15
"19-52 years",15
"10–14-week old",15
"28-70 years",15
"13-84 years",15
"22 wk",15
"20-85 years",15
"7-11 weeks",15
"15-70 years",15
"24 years",15
"5 to 6 months",15
"53.7 +/- 11.2",15
"25 to 45 years",15
"20-88 years",15
"12 months",14
"18 to 47 years",14
24-day-old,14
"19 to 83 years",14
"17 to 70 years",14
"14-67 years",14
"6-12 months",14
14-57,14
"10-64 years",14
"average age = 50 years",14
"28 to 53 years",14
"7 to 54 years",14
"24-57 years",14
"37-44 years",14
"6 - 8 mo",14
"16-79 years",14
"0-9 years",14
"73 years",14
"39-44 years",14
60,14
"16-54 years",14
"9-51 years",14
"3 to 5 weeks",14
"16-22 years",14
"22-44 years",14
"58.8 +/- 8.7",14
"14-82 years",14
23-80,14
"5-10 weeks old",14
"4 to 6 weeks old",14
"4-10 weeks old",13
"29 to 73 years",13
"18 month old",13
"5-81 years",13
"2.5-25.4 years",13
"65 days",13
"3-4 years",13
"37-43 years",13
"5-37 years",13
"4.5 months",13
"12-13 months",13
"33 to 61 years",13
"8-10 weeks-old",13
"mean age = 37.7 years",13
"17-42 years-old",13
"1-51 years",13
"4 to 60 months",13
"25-69 years",13
"40-60 years",13
"3-6 weeks",13
"9 years",13
"70 days",13
"24 to 55 years",13
"17-132 days",13
"4 month old",13
"mean age = 30.4 years",13
"8-15 weeks old",13
"19-81 years",13
"31 to 61 years",13
"mean age = 13.8 years",13
"21 months-45 years",13
10-week-old,13
"40-49 years",13
"12 months old",12
"4 to 45 years-old",12
"10 - 15 years",12
"5- 55 years",12
"26.2 +/- 4.8 years",12
"8 to 12-week-old",12
"24 to 28 years",12
"16 to 72 years",12
"24 weeks",12
"5 week old",12
"14-80 years",12
"26 to 53 months",12
"33.7±4.6 years",12
"35.5±8.1 years",12
"mean age = 38 years",12
"2-4 months old",12
Adutls,12
"2-3 years old",12
"18 to 85 years",12
20-82,12
"4-49 years",12
"33.4±6 years",12
"31 to 48 years",12
"< 40 years",12
66-73,12
"18-76 years",12
"1 day to 103 years",12
"4.5 - 6 months",12
60-74,12
"31 years old",12
"26-47 years",12
16-Feb,12
"9 days",12
"28-36 years",12
"2 to 53 years",12
"2.2-47.9 years",12
"Mean age = 47.1 years",12
"38 to 44 years",12
"1-39 years",12
"6.1-36.4 years",12
"36 to 75 years",12
"52-84 years",12
"mean 38 years",12
"22-87 years",12
"<6 months",11
"22 to 55 years",11
"25-59 years",11
"7 to 12 weeks",11
"22 weeks",11
"14 to 41 years",11
10-weeks,11
"19 to 79 years",11
"59 years",11
"23-29 years",11
"15 months",11
"17 years",11
"19-59 years",11
"14.1 +/- 12 years",11
"11 to 47 years",11
"mean age = 46 years",11
"40.0±13.7 years",11
"31-88 years",11
"17 to 56 years",11
"12 - 20 weeks",11
"15-73 years",11
"41 to 73 years",11
"16 to 20 weeks",11
"18-30 years",11
"21-49 years",11
"21-41 years",10
"2-23 years",10
"19-71 years",10
"8.4 to 12.4 years",10
"19-51 years",10
"17-81 years",10
"4 to 6 years",10
"21 to 84 years",10
"32-76 years",10
"13-81 years",10
"36.8 years (mean)",10
"7 days",10
"5 to 6 years",10
"10 week old",10
"16 to 84 years",10
"22 to 34 years",10
"32-46 years",10
"9-49 years",10
"15 to 67 years",10
"26 to 52 weeks",10
Young,10
newborn,10
"19-73 years",10
"56.5 years median age",10
"mean age = 57 years",10
"7.5 months",10
"50.3 years median age",10
"30-52 years",10
"8 to 24 weeks",10
"7-64 years",10
"14-51 years",10
"1-60 years",10
"21 to 59 years",10
"25-51 years",10
"40-67 years",10
"3 month old",10
"8 to 74 years",10
"21 to 72 years",10
"30 to 51 years",10
"36-38 weeks",10
"30-59 years",10
"5-70 years",10
"49-66 years",10
"5 to 8 weeks",10
"21-79 years",10
"85 days",10
25-week-old,10
"19 to 44 years",10
57-59,10
"49 to 63 years",10
"2 days",10
"12.8 +/- 8 years",10
"4-6 week",10
"13-22 years",10
