"h_age"	"frequency"
"18-30 years"	11
"18-33 years"	6
"18-35"	3
"18-35 years"	2
"18-37 years"	1
"18-38 years"	50
"18-38 years, with an average of 22 years"	48
"18-39 years"	4
"18-40 years"	2024
"18-41 years old"	1
"18-42 years"	5
"18-45 years"	147
"18-46 years"	2
"18-47 years"	2
"18-47 years old"	3
"18-49 years"	1
"18-50 years"	265
"18-51 years"	6
"18-52 years"	7
"18-53"	1
"18-54 years"	8
"18-55 years"	602
"18-58 years"	9
"18-59 years"	5
"18-60 years"	58
"18-61 years"	9
"18-62 years"	2
"18-63 years"	5
"18-65 years"	64
"18-66 years"	20
"18-67 years"	2
"18-68 years"	16
"18-69 years"	137
"18-70 years"	173
"18-71 years"	5
"18-72"	28
"18-72 years"	8
"18-74 years"	20
"18-76 years"	12
"18-77 years"	20
"18-78 years"	1
"18-79 years"	5
"18-82 years"	3
"18-83 years"	30
"18-85 years"	65
"18-87 years"	1
"18-90 years"	18
"18-91 years"	5
"18–48 years"	5
"18–55 years"	9
"18–73"	7
"19 months"	27
"19 to 36 years"	66
"19 to 44 years"	10
"19 to 45 years"	154
"19 to 47 years"	3307
"19 to 56 years"	1
"19 to 62 years"	1
"19 to 64 years"	4
"19 to 66 years"	624
"19 to 71 years"	5
"19 to 79 years"	11
"19 to 83 years"	14
"19 to 85 years"	5
"19 weeks"	3
"19 years"	23
"19-27 years old"	7
"19-29 years"	4
"19-31 years"	6
"19-35 years"	1
"19-39 years"	2
"19-40 years old"	2
"19-43"	2
"19-43 years"	3
"19-45 years"	3
"19-46 years"	6
"19-48 years"	5
"19-49"	1
"19-51 years"	10
"19-52 years"	15
"19-54 years"	38
"19-55 years"	37
"19-56 years"	135
"19-58 years"	2
"19-59 years"	11
"19-60 years"	18
"19-62 years"	1
"19-65 years"	127
"19-66"	1
"19-66 years"	1
"19-68 years"	1
"19-70 years"	132
"19-71 years"	10
"19-73 years"	10
"19-74 years"	138
"19-75 years"	5
"19-77 years"	152
"19-80 years"	52
"19-81 years"	13
"19-83 years"	69106
"19-86 years"	4
"19-87 years"	2
"19.5 to 60.2 years"	172
"19.7 to 63.3 years"	172
"19.8 to 38.8"	4
"19.9 to 60.5 years"	2
"2 - 3 months"	8
"2 and 6 years"	4
"2 and 64 years"	2
"2 days"	10
"2 mo"	5
"2 month"	2
"2 month old"	3
"2 months"	254
"2 months - 12 years"	482
"2 months old"	17
"2 months to 14 years"	6
"2 months-12 years"	3
"2 to 100 years"	2
"2 to 15 years"	8
"2 to 16 years"	174
"2 to 3 months"	30
"2 to 3 weeks"	25
"2 to 3 years"	52
"2 to 36 months"	39
"2 to 39 years"	2
"2 to 4 weeks"	16
"2 to 47 years"	2
"2 to 53 years"	12
"2 to 58 years"	2
"2 to 6 years"	6
"2 to 65 years"	407
"2 to 67 years"	9
"2 to 73 years"	3
"2 to >20 years"	9
"2 weeks"	35
"2 years"	35
"2 years 8 months to 3 years 9 months"	8
"2-11 years"	27
"2-12 years"	1
"2-13 years"	38
"2-14 years"	6
"2-15 years"	1
"2-17 years"	1
"2-18 years"	36
"2-19 years"	2
"2-23 years"	10
"2-3 month old"	3
"2-3 months"	150
"2-3 months old"	1
"2-3 weeks"	38
"2-3 years"	7
"2-3 years old"	12
"2-4 months"	45
"2-4 months old"	12
"2-4 weeks"	34
"2-4 years"	8
"2-4 years-old"	4
"2-4 yrs"	1
"2-40 years"	6
"2-45 years"	17
"2-49 years"	25
"2-5 months old"	1
"2-5 years"	114
"2-50 years"	8
"2-54 years-old"	63
"2-6 years"	4
"2-65 years"	82
"2-65 years-old"	7
"2-7 months"	1
"2-7 years"	27
"2-8 months"	1
"2-8 years"	17
"2-80 years"	2
"2-day to 6-week old"	17
"2-month-old"	6
"2-week old"	3
"2.2-47.9 years"	12
"2.5-16 years"	178
"2.5-22 years"	4
"2.5-25.4 years"	13
"2.5-6 months"	9
"2.8 months"	6
"2.8 to 4.2"	3
"20 to 30 years"	8
"20 to 34 years"	8
"20 to 40 years"	19
"20 to 57 years"	1
"20 to 59 years"	4
"20 to 60 years"	47
"20 to 66 years"	28
"20 to 70 years"	114
"20 to 72 years"	5
"20 to 75"	3
"20 to 75 years"	4
"20 to 89 years"	15
"20 weeks"	34
"20 years"	19
"20-22 weeks"	3
"20-24 weeks"	18
"20-25 years"	7
"20-29 years"	110
"20-30 years"	47
"20-31 years"	59
"20-35 years"	1
"20-42 years"	2
"20-43 years"	1
"20-44 years"	36
"20-45 years"	16
"20-46 years"	3
"20-49 years"	24
"20-53 years"	25
"20-55 years"	2
"20-56 years"	22
"20-57 years"	3
"20-59 years"	4
"20-60 years"	71
"20-64 months"	6
"20-64 years"	1
"20-66 years"	3
"20-67 years"	2
"20-68 years"	1
"20-70 years"	2
"20-72 years"	5
"20-73 years"	4
"20-74 years"	2
"20-77 years"	3
"20-79 years"	6
"20-80 years"	182
"20-81 years"	1
"20-82"	12
"20-84 years"	3
"20-85"	1
"20-85 years"	15
"20-88 years"	15
"20-89 years"	22
"20-95 years old"	7
"21 -54 years"	2
"21 day old"	312
"21 days"	20
"21 months-45 years"	13
"21 to 30 years"	16
"21 to 38 years"	2
"21 to 43 years"	2
"21 to 45 years"	6
"21 to 47 years"	6
"21 to 56 years"	52
"21 to 59 years"	10
"21 to 60 years"	1
"21 to 66 years"	3
"21 to 72 years"	10
"21 to 76 years"	161
"21 to 77 years"	1
"21 to 83 years"	6
"21 to 84 years"	10
"21 to 85 years"	3
"21 to 86 years"	4
"21 to 91 years"	2
"21 weeks"	6
"21 years"	97
"21, 27 and 36 weeks"	5
"21-25 years"	198
"21-27 years"	1
"21-33 years"	2
"21-36 years"	9
"21-40 years"	7
"21-41 years"	10
"21-44 years"	62
"21-45 years"	5
"21-46 years"	2
"21-47 years"	52
"21-49 years"	11
"21-51 years"	173
"21-53 years"	6
"21-54 years"	3
"21-57 years"	3
"21-58 years"	4
"21-59 years"	3
"21-61 years"	7
"21-63 years"	3
"21-65 years"	1
"21-66 years"	3
"21-70 years"	70
"21-73 years"	70
"21-74 years"	2
"21-77 years old"	6
"21-78 years"	3
"21-79 years"	10
"21-85 years"	6548
"21-86 years"	2
"21-90 years old"	8
"21-94 years"	4
"21.1 to 39.9 years"	3
"22 to 31 years"	1
"22 to 32 years"	59
"22 to 34 years"	10
"22 to 54 years"	1
"22 to 55 years"	11
"22 to 58 years"	8
"22 to 62 years"	8
"22 to 69 years"	1
"22 to 73 years"	1
"22 to 76 years"	1
"22 to 78 years"	3
"22 to 81 years"	27
"22 weeks"	11
"22 wk"	15
"22 years"	20
"22-24 years"	1
"22-25 years"	4
"22-34.5 years"	2
"22-40 years"	1
"22-41"	8
"22-41 years"	56
"22-42 years"	34
"22-44 years"	14
"22-52 years"	24
"22-55 years"	1
"22-59 years"	24
"22-60 years"	1
"22-61 years"	1
"22-63 years"	1
"22-65 years"	7
"22-70 years"	21
"22-71 years"	5
"22-72 years"	16
"22-73 years"	3
"22-74 years"	132
"22-75 years"	1105
"22-79 years"	38
"22-80 years"	3
"22-85 years"	2
"22-87 years"	12
"22.4 to 58.8 years"	18
"22.7 +/- 14 years"	7
"22–59"	1
"22–59 years"	2
"23 days"	6
"23 to 27 weeks"	2
"23 to 45 years"	5
"23 to 52 years"	9
"23 to 55 years"	66
"23 to 57 years"	5
"23 to 59 years"	29
"23 to 82 years"	1
"23 to 89 years"	98
"23 years"	38
"23-29 years"	11
"23-33 years"	23
"23-37 years"	2
"23-37.5 years"	2
"23-38 years"	102
"23-39 years"	26
"23-40 years"	1
"23-41 years"	2
"23-45 years"	365
"23-47 years"	1
"23-48 years"	24
"23-53"	2
"23-55 years"	1
"23-57 years"	3
"23-59 years"	38
"23-61 years"	19
"23-62 years"	4
"23-64 years"	32
"23-65 years"	2
"23-66"	2
"23-66 years"	2
"23-66 years old"	1
"23-67 years"	5
"23-69 years"	27
"23-71 years"	8
"23-76 years"	1
"23-77 years"	1
"23-78 years"	1
"23-79 years"	1
"23-80"	14
"23-80 years"	1
"23-84 years"	68961
"23.2 +/- 5.7 years"	6
"23.6-53.8"	2
"23.8 +/- 2.3 years"	1
"23.9 to 53.9 years"	2
24	1
"24 days"	2
"24 hours"	6
"24 to 28 years"	12
"24 to 35 years"	8
"24 to 37 years"	9
"24 to 55 years"	13
"24 to 59 years"	8
"24 to 60 years"	36
"24 to 61 years"	2
"24 to 65 yesrs"	1
"24 to 75 years"	2
"24 to 82 years"	3
"24 to 87 years"	2
"24 weeks"	12
"24 years"	15
"24-33 years"	1
"24-34 years"	50
"24-35 years"	2
"24-37 years"	18
"24-44 years"	1
"24-45 years"	20
"24-49"	1
"24-50 years"	1
"24-54 years"	8
"24-55 years"	41
"24-57 years"	14
"24-61 years"	7
"24-75 years"	3
"24-75 years old"	8
"24-76 years"	8
"24-79 years"	2
"24-82 years"	5
"24-83 years"	8
"24-85 years"	18
"24-95 years"	22
"24-day-old"	14
"24.92 +/- 0.84"	23
25	9
"25 days"	58
"25 to 45 years"	15
"25 to 46 years"	49
"25 to 52 years"	118
"25 to 70 years"	3
"25 to 77"	3
"25 weeks"	25
"25 years"	17
"25 years mean age"	1
"25-30 grams"	2
"25-40 years"	3
"25-43 years"	20
"25-46 years"	16
"25-50 years"	49
"25-51 years"	10
"25-53 years"	9
"25-55 years"	9
"25-58 years old"	2
"25-59 years"	11
"25-60 years"	54
"25-62 years"	57
"25-67 years"	22
"25-69 years"	13
"25-75 years"	2
"25-76 years"	83
"25-88 years"	2
"25-week-old"	10
"25.4 to 52.4 years"	6
"25.8 to 53.2 years"	3
"26 to 34 years"	2
"26 to 37 years"	9
"26 to 52 weeks"	10
"26 to 52 years"	5
"26 to 53 months"	12
"26 to 55 years"	213
"26 weeks"	24
"26 years"	170
"26-30 weeks"	1
"26-30 years"	214
"26-43 years"	1
"26-47 years"	12
"26-48"	3
"26-48 years"	1
"26-49 years"	2
"26-51 years"	25
"26-54 years"	9
"26-55 years"	32
"26-58 years"	3
"26-60 years"	18
"26-61 years"	3
"26-67 yrs"	1
"26-72 years"	61
"26-72 years-old"	8
"26-75 years"	1
"26-78 years"	1
"26-84 years"	1
"26-85 years"	1945
"26-96 years"	3
"26.2 +/- 4.8 years"	12
"26–71 years"	4
"27 to 37 years"	3
"27 to 45 years"	9
"27 to 46 years"	4
"27 to 55 years"	100
"27 to 60 years"	6
"27 to 65 years"	253
"27 to 71 years"	1
"27 to 77 years"	58
"27 to 85 years"	69
"27 weeks"	4
"27 years"	76
"27-105 years"	16
"27-47 years"	1
"27-51 years"	21
"27-54 years"	17
"27-55 years"	4
"27-56 years"	1
"27-72 years"	6
"27-74 years"	30
"27-77 years"	1
"27.4 ± 16.2 years"	5
"27.5 to 32.5 months"	7
"28 to 39 years"	3
"28 to 49.6 years"	3
"28 to 52 years"	3990
"28 to 53 years"	14
"28 to 54 years"	3991
"28 to 57 years"	18
"28 weeks"	2
"28 years"	151
"28 years-old"	2
"28-36 years"	12
"28-42 years"	6
"28-53 years"	2
"28-56 years"	20
"28-57 years"	3
"28-58 years old"	1
"28-59 years"	4
"28-60 years"	7
"28-65 years"	22
"28-68 years"	5
"28-69 years"	1
"28-70 years"	15
"28-71 years"	1
"28-74 years"	4
"28-75 years"	2
"28-82"	1
"28-85 years"	2
"28-91 years"	6
"28-92 years"	16
"28–36 years"	6
"29 +/- 9 days"	21
"29 to 47 years"	1
"29 to 52 years"	3991
"29 to 59 years"	1
"29 to 71 years"	1
"29 to 73 years"	13
"29 to 75 years"	3
"29 to 77 years"	6
"29 to 81 years"	3
"29 years"	35
"29 years old"	2
"29-44 years"	4
"29-50 years"	2
"29-56 years"	26
"29-62 years"	9
"29-63 years"	4
"29-65 years"	3
"29-68 years"	2
"29-71 years"	345
"29-82 years"	66
"29-87 years"	3
"29-96 years"	103
"3 - 4 weeks"	1
"3 days"	39
"3 month old"	10
"3 months"	1231
"3 months old"	5
"3 months to 11 years"	4
"3 months to 15 years"	1
"3 months to 2 years"	1
"3 months to 25 years"	3
"3 months to 64 years"	17
"3 months to 7 years"	4
"3 months-old"	16
"3 to 14 years"	63
"3 to 16 years"	17
"3 to 4 months"	66
"3 to 4 weeks"	1
"3 to 5 months"	46
"3 to 5 weeks"	14
"3 to 5 years"	1
"3 to 56 years"	2
"3 to 8 weeks"	2
"3 to 8 years"	5
"3 to 9 weeks"	5
"3 weeks"	181
"3 weeks - 6 months"	1
"3 weeks old"	184
"3 weeks-15 years"	20
"3 years"	201
"3 years old"	1
"3-11 years"	2
"3-14 years"	2
"3-15 years"	1
"3-15 years old"	830
"3-23 years"	25
"3-25 years"	15
"3-34 years"	1
"3-4 days"	2
"3-4 months"	104
"3-4 months-old"	27
"3-4 weeks"	76
"3-4 weeks old"	3
"3-4 weeks-old"	1
"3-4 years"	13
"3-41 years"	5
"3-48 years old"	439
"3-5 months"	8
"3-5 weeks"	48
"3-5 weeks old"	2
"3-5 years"	6
"3-6 months"	15
"3-6 weeks"	13
"3-6 years"	81
"3-61 years"	18
"3-65 years-old"	6
"3-70 years old"	335
"3-8 years"	5
"3-9 years"	141
"3-week old"	150
"3.1-18 years"	37
"3.4 to 24.4 years"	6
"3.4-86 years"	3
"3.5 month"	6
"3.5 months"	1
"3.5-15 years"	25
"3.6-18.6 years"	5
"30 days"	9
"30 to 40 years"	6
"30 to 45 years"	106
"30 to 51 years"	10
"30 to 55 years"	3
"30 to 77 years"	6
"30 weeks"	3
"30 years"	30
"30-33 years"	1
"30-40 years"	9
"30-45 years"	3
"30-52 years"	10
"30-56 years"	3
"30-58 years"	2
"30-59 years"	10
"30-60 years old"	1
"30-63 years"	1
"30-66 years"	7
"30-68 years"	106
"30-80 years"	2
"30-82 years old"	6
"30-85 years"	1
"30-89 years old"	3
"31 to 32 years"	5
"31 to 48 years"	12
"31 to 49 years"	2
"31 to 61 years"	13
"31 to 67 years"	18
"31 to 73 years"	22
"31 years"	220
"31 years old"	12
"31-32"	9
"31-45 years"	1944
"31-47 years"	1
"31-49 years"	5
"31-57 years"	5
"31-58 years"	19
"31-59 years"	7
"31-60 years"	2
"31-65 years"	16
"31-66 years"	31
"31-76 years"	26
"31-88 years"	11
"31.6+/-5.4"	4
"31.63 +/- 1.37 years"	23
"31.7+/-4.5"	4
"31and 73 years"	1
"31–83 years"	27
"32 to 52 years"	18
"32 to 66 years"	1
"32 to 69 years"	2
"32 to 72 years"	6
"32 to 73 years"	99
"32 to 78"	1
"32 to 97 years"	2
"32 years"	384
"32-43 years"	3
"32-46 years"	10
"32-54 years"	6
"32-58 years"	1
"32-60"	2
"32-62 years"	9
"32-64 years"	7
"32-68 years old"	1
"32-70"	2
"32-72 years"	2
"32-76 years"	10
"32-79 years"	76
"32-82 years"	1
"33 to 53 years"	57
"33 to 60 years"	4
"33 to 61 years"	13
"33 to 71 years"	129
"33 to 81 years"	119
"33 to 83 years"	62
"33 to 84 years"	58
"33 years"	116
"33-62 years"	17
"33-66 years old"	24
"33-71 years"	55
"33-73 years"	5
"33-88 years"	1
"33.4±6 years"	12
"33.7±4.6 years"	12
"34 to 37 years"	2
"34 years"	179
"34-48 years"	2
"34-60 years"	5
"34-61 years old"	6
"34-68 years"	1
"34-70 years"	68
"34-71 years"	2
"34-75 years"	4
"34-79 years"	3
"34-82 years"	1
"34-96 years"	185
"34.3 years"	4
35	2
"35 to 40 days"	130
"35 to 50 years"	4
"35 to 52 years"	48
"35 to 56 years"	15
"35 to 65 years"	8
"35 to 66 years"	35
"35 to 75 years"	1
"35 years"	402
"35 years mean age"	2
"35 years-old"	5
"35-40 days"	19
"35-43 years"	1
"35-55 years"	7
"35-65 years"	16
"35-70 years"	6
"35-72 years"	5
"35-75 years old"	1
"35-84 years"	38
"35-85 years"	79
"35-87 years"	5401
"35.3 to 54.3 years"	1
"35.5 +/- 12.8 years"	25
"35.5±8.1 years"	12
"36 +/- 10 years"	3056
