as_location,occurrences
"Figures 4 and 5, Table 2",5
"Supplementary List 3, Figure 9",5
"Table I and Figure 5",5
"Figure 1 and Dataset 1",5
"Supplementary 2",5
"Figure 3B",5
"Table 2 and Online Supplementary Table S1, S2 and S3",5
"Figures 3, 9, S1, S3 and Table S3",5
"Table 2 and Supplementary Table 1",5
"Figure 4 and PRIDE ID:PXD021755",5
"Figure 1 and 5 and Tables 1 and 2",5
"Supplementary Tables S5, S7",5
"Figures 5 and S6 and Table S10",4
"Figures 5 and 6",4
"Table 3 and Supplemental Figure 1",4
"Table 2, Figure 2",4
"Tables 3 and S4 and Figures 4, S4",4
"Supporting Tables S3, S9, Figure 7",4
"Supporting Information Tables 1 and 3, figure 4",4
"Table 1, and text p. 4836",4
"Table S1 and Figures 5 and S5",4
"Supplemental Data 2, 3, Table 1",4
"Figure S7",4
"Figure 5, Supplementary Figure 13 and Supplementary Table 4",4
"Figure 3 and PRIDE ID:PXD021755",4
"Supplementary Figure 2 and Supplementary Table 1",4
"Supplementary Data 1, 2, and Figure 2",4
"Supplementary Figure S3C",4
"Figure 5 and Table S10",4
"Supplementary Table S1, Supplementary Table S3, Supplementary Table S5",4
"Supplementary Table S1, Supplementary Table S6",4
"Table 1A",4
"Figure 8C",4
"Figure 2 and Supplementary Figures 2 and 6",4
"Figure 5 and Supplementary Table 1 and Figure",4
"Supplementary Figure 1 and figure 4",4
"Table S1 and Figures 5, 6, and S5",4
"Supplemental Tables 1 and 2",4
"Figures 2 and S3 and Table S3",4
"Figures 2B and 5",4
"Tables 2 and 3 and Supplementary data Figure 3, Table 1",4
"Figure 3 and Table 2",4
"Text page 2471",4
"Figure 2, Table 1",3
"Table 1 and Figure S2",3
"Table 2 and Figure S5",3
"Figure 3a",3
"Figure 3, Table 2",3
"Table V",3
"Figures 1, 4, 6, and Table 1",3
Text,3
"Figure S2 and Table 2",3
"Figure 3 and Table 1",3
"Figure 1, Supplementary Table 1 and Supplementary Figures 3 and 4",3
"Figure 8",3
"Supplementary Table S1, Supplementary Table S3, Supplementary Table S5, Supplementary Table S6",3
"Table S1 and Extended Data Figure 2",3
"Supplementary Tables S6, S7",3
"Figures 1, 3 and 5 , table 2",3
"Figure S4 and Table 2",3
"Figures 1 and 4 and Supplementary Table 1",3
"Supplemental Figure 3",3
"Table 1, Figure 1B",3
"Figure 3 and Supplementary Table 3",3
"Figure 5 and Table S3",3
"Author provided",3
"Figure 1 and Table 6",3
"Figure S5",3
"Supplementary Table 4, and Figure 4",3
"Extended Data Figure 4 and Table S3",3
"Figure 1, 4, 6, and Table 1",3
"Table S3 and Figure 2",3
"Figures 1 and 2, Table 2",3
"Figures 1, 2, table 1",3
"Supplementary Figure 6",3
"Figure 3C",3
"Figures 1, 4, 5, 6, and Table 1",3
"Figures 1, 2, and 3",3
"Figure 1, Tables I and III",3
"Supplementary Table S1, Supplementary Table S2, Supplementary Table S4, Supplementary Table S6",3
"Supplementary Table I, Table I, II",3
"Supplementary Table S2, Supplementary Table S3, Supplementary Table S4, Supplementary Table S5",3
"Supplemental Table 1, Figure S3",3
"Tables 2 and 3",3
"Table 1, Supplementary Data S1, Data S2",3
"Table S1, S2 and Figure 2",2
"Figure 6B",2
"Figures 1 and S1",2
"Figures 1-4",2
"Extended Data Figure 2",2
"Figures 1 and 3",2
"Figures 1 and 3, table 2",2
"Figure 2 and Supplementary Table 1 and Figure",2
"Figure 1 and Supplementary Figure 1",2
"Tables 1, S1, S2",2
"Figure 1, Supplemental Table 1",2
"Supplementary Table S2, Supplementary Table S6",2
"Table 1 and figure 7",2
"Table S2 and Figure 4",2
"Table 3 and Figure S1",2
"Table S1, S2, Figures 2 and 3",2
"Figure 5 and text page 1791",2
"Table 2 and Supplementary Table 4",2
