as_location,occurrences
"Figures 5, Table S1",55
"Figures 4 and 7",54
"Results page 271",54
"Figure 3 and Supplemental Table S2",54
"Table 2, Figures 2, S5, S7",54
"Figure 5 and Table 3",54
"Page 725",54
"Table I, figure 1",54
"Figures 4, 5, and 6",53
"Figure 4, Table 1",53
"Table 4 and Figure 2",53
"Figures 2, S1",53
"Figures 2 and 3, Supplementary Figure 12",52
"Figure 2 and Table 3",52
"Figures 3, 5",52
"Figure 2, Supplementary Figure 4",52
"Tables 1, S4",52
"Figures 5, 7",52
"Supplementary Fig. 1",52
"Figure 3 and Tables 3, S1, S2",52
"Extended Data Figure 10",52
"Text p.31",52
"Table 2, Figure 3",52
"Supplementary Figure S3",51
"Figure S3 and Table S1",51
"Figures 5, S3",51
"Figure 5 and Table 1",51
"Supplemental table 1, figures 1 and 2",51
"Table 8",51
"Figure 3, Figure 4",50
"Supplamental Figure 3",50
"Figure 4A and 4B",50
"Figures 4 and S2",50
"Figure 2 and Supplementary Figure 4",50
"Figure 2 and Supplementary Table 4",50
"Supplementary table S7",50
"Figure 1, and Table 4",50
"Tables S2 and S8",50
"Figures 1, 3, 4, S3, and S4",50
"Figures 6 and 8",50
"Text p. 301",49
"Supplementary Table 1, Supplementary Figure 3",49
"Figure 3Dii",49
Table,49
"Table VIII",49
"Figure 4 and Supplementary Table 1",48
"Figure 1C and Supporting Information Table 1",48
"Figures 1, 2, 5, 6, S1, S3, and S5",48
"Supplementary Table 1, Text of manuscript",48
"Figures 3, S2",48
"Supplementary Table 5",48
"Figure 3c",48
"Figures 1, 2, Table 1",48
"Supplementary Dataset 11c",48
"Supplemental Data File S3, Figure 2",48
"Figure 1, Supplementary Figure 3",48
"Supplemental Figure 4",48
"Figure 2, 4",47
"Figure 4 and 5",47
"Figure 2 and Table S6",47
"Suppl. figure 2.",46
"Extended Data Table 2",46
"Figure 3 and Table 4",46
"Figure 5 and Table S7",46
"TABLE III",46
"Figure 4 and Suppl. figure 1.",46
"Tables 1 and 4",46
"Supplementary Figures 8 and 9",46
"Table A1",46
"Figure 3 and Supplementary Figure 2",46
"Figure 4E",46
"Figure 1 and S1 source raw",45
"Figure 5, Figure 2",45
"Figure 3, 4",45
"Table S19",45
"Table S16",45
"Table 3 and supplementary figure S2",45
"Figure 3, Supplementary Figure 12",45
"Figure 2 and Supplementary Figure S1",45
"Table S13",45
"Figure 3E",45
"Figures 2 and 3 and Table 2",45
"Figure 2, Figure 5, and Table S1",44
"Figure 1 and S2",44
"Figure S2 and Table S2",44
"Figure 2 and Supplemental Table 1",44
"Figures 2, 3, 4 and 5",44
"Figure 1, Supplemental Figure 1",44
"Results page 2 (data not shown)",44
"Figure 2 and Supplementary Table 3",44
"Figures 1 and 4 and Supporting Material Table S2",44
"Figure 1 and 2A",44
"Results page 2 and Figure 1A",44
"Figure 5, Table 1",44
"Figures 1, 2, 3 and Supplementary Table 4",43
"Table 2 and Figure 5",43
"Extended Data Figure 6",43
"Supplemental Table 2, Figure 3",43
"Table 1, Figure 4",43
"Figures 1 and 2, Table 1",43
"Figure 5 and Table I",43
"Table 2 and figure 2",43
"Extended Data Figure 9",42
"Table 3 and Figure 4",42
"S1 Figure",42
"Figure 5 and Table S6",42
"Supplementary Figure 13",42
"Table 1, Supplementary Table S1",42
"Figure 1 and Supplementary Table 3",42
"Supplemental Figure S1",42
"Supplementary Table II",42
"Figure 6 and Supplementary Table 1",42
"Figures 1B, S4 and S10",42
"Figure 2, text page 2153",42
"Figure 5 and Table 4",42
