as_location,occurrences
"Figure S1 and Table S1",51
"Figures 10A, 10C and 10E",51
"Table 1, Figure 4",51
"Tables 3, 4",51
"Figures 3, 4 and 5",51
"Figures 4 and 5, Table 3",51
"Figures 3, S13",50
"Figures 7 and 8 and Table 6",50
"Figures  1, 2",50
"Figures 4 and 8",50
"Figures 1 and 2 and Table S1",50
"Supplementary Table S2",50
"Table 3, Figure 4",50
"Figure 1, Tables 2 and 3",50
"Figure 3 and 4",50
"Figures 5 and S2",50
"Figure 3 and Supplemental Digital Content 1",50
"Table 1C",49
"Text page 836",49
"Table 2, Figures 1, 2",49
"Figure 4 and Table 4",49
"Table 2 and figure 3",49
"Supplemental Table 2",49
"Figures S3 and S4",49
"Figure 6 and Table II",49
"Extended Data Figure 8",49
"Table 2, Figures 2 and 3",49
"Supplemental Table 3",49
"Figures 4, S1",49
"Page 1452",48
"Supplemental Table 10",48
"Extended Data Figure 2",48
"Figures 2, 3, and 4 and Table 1",48
"Figure 2 and 3",48
"Table 1, Figure 5",48
"Figure S4A",48
"Figure 2 and Extended Data Figure 5",48
"Figures 1 and 3, Table 2",48
"Figure 1 and Data File S2",48
"Author Communication",47
"Figure 2, Supplementary Figure 3",47
"Extended Data Figure 7 and Supplementary Tables 4 and 5",47
"Figure S10 and Table S7",47
"Tables II and III",47
"Table II and Figures 2 and 3",47
"Figure 2D",47
"Figures 2b, 2d and 2e",46
"Tables 2, S2",46
"Figure 2 and Supplementary Table 5",46
"Figures 2 and 3.",46
"Table 3, figures 1, 2 and 3",45
"Figures 4 and S6",45
"Figures 2, 4 and 5",45
"Figure 1 and S2 Table",45
"Tables I and II",45
"Supplementary Table 5, Supplementary Data 2",45
"Figure 4, Text page 338",45
"Figure 3b",45
"Figure 3, Table II",45
"Figure 1C, S1, Table S2",45
"Table 3, Supplemental data",45
"Figure 1 and table 1",45
"Table 1, Supplementary Fig. 1",44
"Figure 6E",44
"Table T8",44
"Table II, Figure 2",44
"S2 Figure",44
"Figure 11",44
"Table 8",44
"Figures 1 and 7",44
"Tables 1, S1, and Figure 3",44
"Figure 1 and text p.127",43
"Extended Data Figure 3",43
"Figure 15",43
"Supplementary Figure S2",43
"Table 1 and Supplementary Figure 2",43
"Supplementary Table 2 and Supplementary Figure 2",43
"Figure S10",43
"Text page 6",42
"Supplementary Files 4 and 6",42
"Figures 2 and 3, Tables 1 and 2",42
"Supplemental Figure S3",42
"Supplementary Figure S1A",42
"Figures 2, 3 and 5",41
"Figure 3 and S2",41
"Figures 3 and S2",41
"Supplementary Figure S4",41
"Figures 2a and 2c",41
"Figure 3A, B",40
"Figure 2 and Table I",40
"Table S4 and Figure S5",40
"Figure 3 and S4",40
"Tables 2 and 5",40
"Figure 3, Tables 2 and 3",40
"Figures 2, 5, and S3 and Table 3",40
"Figure 2 and Supplementary Figure 1",39
"Figures 2, 3 and Table 2",39
"Figure 4D",39
"Figure 3a",39
"Figures 2B, 4 and Table 2",39
"Figure 8, Supplementary Figures 7 and 8, and Supplementary Table 2",39
"Figure 2 and table 3",39
"Figure 2 and Supplementary Table S2",39
"Figure 6, Supplemental Figure 3",39
"Figures 2 and S9",39
"Figure 1 and Extended Data Figure 1",39
"Figures 4 and S3",39
"Supporting Information Figure S1",39
