h_age	h_organism_id	h_organism_name	age_normalized	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
6 weeks to 22 months	10000287	Mus musculus P14 TCR Tg	6 weeks to 22 months						3472
6 to 8 weeks or > 18 months	10001438	Mus musculus BALB/cAnN	6 to 8 weeks or > 18 months						3498
39.8 +/- 10.6 years	9606	Homo sapiens (human)	39.8 +/- 10.6 years						3523
18 to 35, or 65 to 95 years.	9606	Homo sapiens (human)	18 to 35, or 65 to 95 years.						3557
6 to 8 weeks or 18 to 24 months	10000000	Mus musculus BALB/c	6 to 8 weeks or 18 to 24 months						3560
at least 7 weeks	10000576	Mus musculus HLA-A*02:01 Tg	at least 7 weeks						3586
at least 7 weeks	10000615	Mus musculus HLA-DRB1*01:01 Tg	at least 7 weeks						3587
6 motnhs to 15 years	9606	Homo sapiens (human)	6 motnhs to 15 years						3600
27 +/- 6 years	9606	Homo sapiens (human)	27 +/- 6 years						3617
17 +/- 6 years	9606	Homo sapiens (human)	17 +/- 6 years						3626
55.2 +/- 20.1 years	9606	Homo sapiens (human)	55.2 +/- 20.1 years						3629
46.1 +/- 14.8 years	9606	Homo sapiens (human)	46.1 +/- 14.8 years						3631
2 years 8 months to 3 years 9 months	9544	Macaca mulatta (rhesus macaque)	2 years 8 months to 3 years 9 months						3671
58.5 +/- 18.2 years	9606	Homo sapiens (human)	58.5 +/- 18.2 years						3673
4 and 12 weeks	10002071	Mus musculus LLO56 TCR Tg	4 and 12 weeks						3753
4 and 12 weeks	10002072	Mus musculus LLO118 TCR Tg	4 and 12 weeks						3754
10 weeks or 23 weeks	10000067	Mus musculus C57BL/6	10 weeks or 23 weeks						3777
8-10 weeks or 18-22 months	10000067	Mus musculus C57BL/6	8-10 weeks or 18-22 months						3784
embryonic day 15	10000067	Mus musculus C57BL/6	embryonic day 15						3797
18-40 years, 65 years and over.	9606	Homo sapiens (human)	18-40 years, 65 years and over.						3805
1 day, 7-8 days or adult	10000067	Mus musculus C57BL/6	1 day, 7-8 days or adult						3821
6 months to 18 years	9606	Homo sapiens (human)	6 months to 18 years						3833
13 and 21 years	9606	Homo sapiens (human)	13 and 21 years						3834
22 and 68 years	9606	Homo sapiens (human)	22 and 68 years						3841
mean age 35 +/- 11 years	9606	Homo sapiens (human)	mean age 35 +/- 11 years						3847
41 +/- 11 years	9606	Homo sapiens (human)	41 +/- 11 years						3868
9 months to 81 years	9606	Homo sapiens (human)	9 months to 81 years						3894
18+ years	9606	Homo sapiens (human)	18+ years						3910
26.2 +/- 4.8 years	9606	Homo sapiens (human)	26.2 +/- 4.8 years						3916
12 +/- 2 weeks	9913	Bos taurus (bovine)	12 +/- 2 weeks						3935
6 and 12 weeks	10000632	Mus musculus NOD	6 and 12 weeks						3969
≥ 18 years	9606	Homo sapiens (human)	≥ 18 years						3987
Neonates (3 or 7 days)	10000067	Mus musculus C57BL/6	neonates (3 or 7 days)						4077
Neonates (3 days)	10000067	Mus musculus C57BL/6	neonates (3 days)						4083
29 and 53 years	9606	Homo sapiens (human)	29 and 53 years						4094
6 yo 8 weeks	10000000	Mus musculus BALB/c	6 yo 8 weeks						4107
6 yo 8 weeks	10000067	Mus musculus C57BL/6	6 yo 8 weeks						4108
22 to >60 years	9606	Homo sapiens (human)	22 to >60 years						4135
12-16 weeks or 18-22 months	10000067	Mus musculus C57BL/6	12-16 weeks or 18-22 months						4150
18 years or older	9606	Homo sapiens (human)	18 years or older						4165
