h_age	h_organism_id	h_organism_name	age_specified	age_minimum	age_maximum	age_unit	age_comment	index
31.63 +/- 1.37 years	9606	Homo sapiens (human)						6112
36.1 years (mean)	9606	Homo sapiens (human)						6113
55 ± 27 years	9606	Homo sapiens (human)						6114
24.92 +/- 0.84	9606	Homo sapiens (human)						6115
43.62 +/- 1.07 years	9606	Homo sapiens (human)						6123
100 day fetus	10001726	Sus scrofa Miniature Minnesota						6125
48 ± 8 years	9606	Homo sapiens (human)						6146
51.4 +/- 18 years	9606	Homo sapiens (human)						6147
29 +/- 9 days	9913	Bos taurus (bovine)						6148
mean age of 54. 04	9606	Homo sapiens (human)						6154
72.5±5.2 years	9606	Homo sapiens (human)						6161
72.3±6.7 years	9606	Homo sapiens (human)						6162
36.47 +/- 12.46 years	9606	Homo sapiens (human)						6172
40.15 +/- 8.8 years	9606	Homo sapiens (human)						6173
53 +/- 11 years	9606	Homo sapiens (human)						6181
25 years mean age	9606	Homo sapiens (human)						6218
mean age: 32.56 years	9606	Homo sapiens (human)						6229
mean age: 34 years	9606	Homo sapiens (human)						6230
39.0 +/- 13.8 years	9606	Homo sapiens (human)						6254
44.1 +/- 13.2 years	9606	Homo sapiens (human)						6264
41.5 +/- 9.8 years	9606	Homo sapiens (human)						6265
31.7+/-4.5	9606	Homo sapiens (human)						6266
37.0 +/- 12.6 years	9606	Homo sapiens (human)						6268
31.6+/-5.4	9606	Homo sapiens (human)						6269
8 +/- 3 years	9606	Homo sapiens (human)						6277
38+/- 11 years	9606	Homo sapiens (human)						6283
70 +/- 9 years	9606	Homo sapiens (human)						6290
1 year 8 months to 68 years	9606	Homo sapiens (human)						6295
0.7 to 20.9 years (median = 11.0)	9606	Homo sapiens (human)						6323
36.2 +/- 8.9 years	9606	Homo sapiens (human)						6327
58.4 +/- 14.3 years	9606	Homo sapiens (human)						6352
<42-79 years	9606	Homo sapiens (human)						6354
1 month - 13 years	9606	Homo sapiens (human)						6357
6 or 12 months	10001286	Mus musculus APPswe/PSEN1						6369
42.18+/-13.23	9606	Homo sapiens (human)						6378
44.94+/-15.65	9606	Homo sapiens (human)						6379
1 day to 103 years	9606	Homo sapiens (human)						6403
23.2 +/- 5.7 years	9606	Homo sapiens (human)						6409
60.9 +/- 11 years	9606	Homo sapiens (human)						6413
59.4 +/- 5.4 years	9606	Homo sapiens (human)						6414
43 t0 53 months	9483	Callithrix jacchus (common marmoset)						6422
1 to 5 years or > 15 years	9606	Homo sapiens (human)						6433
mean age 3-4 years	9606	Homo sapiens (human)						6438
9.42 +/- 3.84 years	9606	Homo sapiens (human)						6446
6.94 +/- 3.58 years	9606	Homo sapiens (human)						6447
11 +/- 7 years	9606	Homo sapiens (human)						6450
12.9 +/- 7.7 years	9606	Homo sapiens (human)						6451
12.8 +/- 8 years	9606	Homo sapiens (human)						6452
13.6 +/- 6.8 years	9606	Homo sapiens (human)						6453
22.7 +/- 14 years	9606	Homo sapiens (human)						6454
14.1 +/- 12 years	9606	Homo sapiens (human)						6455
9.6 +/- 3.1 years	9606	Homo sapiens (human)						6456
14.3 +/- 5.7 years	9606	Homo sapiens (human)						6458
23.8 +/- 2.3 years	9606	Homo sapiens (human)						6459
50.3 years median age	9606	Homo sapiens (human)						6466
56.5 years median age	9606	Homo sapiens (human)						6467
55.9 +/- 19.2 years	9606	Homo sapiens (human)						6472
37.9 +/- 6.5 years	9606	Homo sapiens (human)						6477
37.6 +/- 11.0 years	9606	Homo sapiens (human)						6478
6 weeks and 18 months	10000000	Mus musculus BALB/c						6493
53.7 +/- 11.2	9606	Homo sapiens (human)						6497
58.8 +/- 8.7	9606	Homo sapiens (human)						6498
55.7 +/- 5.7	9606	Homo sapiens (human)						6510
49.5 +/- 7.5	9606	Homo sapiens (human)						6511
43 +/- 12 years	9606	Homo sapiens (human)						6579
36 +/- 10 years	9606	Homo sapiens (human)						6584
median age: 7.5 years	9606	Homo sapiens (human)						6591
over 18 years	10000119	Homo sapiens Caucasian						6611
46.7 yeas (mean)	9606	Homo sapiens (human)						6630
1 day to 6 months	9823	Sus scrofa (pig)						6660
2 months - 12 years	9606	Homo sapiens (human)						6695
52 years old on average	9606	Homo sapiens (human)						6703
36.8 years (mean)	9606	Homo sapiens (human)						6714
8 months to 54 years	9606	Homo sapiens (human)						6735
11 months - 55 years	9606	Homo sapiens (human)						6737
42 +/- 8.1 years	9606	Homo sapiens (human)						6761
at least 2 months	10000206	Oryctolagus cuniculus New Zealand White						6768
18-38 years, with an average of 22 years	9606	Homo sapiens (human)						6770
47 +/- 4.5 years	9606	Homo sapiens (human)						6778
51 and 66 years	9606	Homo sapiens (human)						6823
born before 1968	9606	Homo sapiens (human)						6845
68.5 +/- 16.4 years	9606	Homo sapiens (human)						6875
over 50 years	9606	Homo sapiens (human)						6902
1.5 months to 40 years	9606	Homo sapiens (human)						6904
17 months - 4 years	9606	Homo sapiens (human)						6907
3 months to 15 years	9606	Homo sapiens (human)						6926
7 months to 10 years	9606	Homo sapiens (human)						6928
mean 13. 8 years	9606	Homo sapiens (human)						6952
1 month - 4 years	9606	Homo sapiens (human)						6996
3 months to 25 years	9606	Homo sapiens (human)						7009
>/= 15 years	9606	Homo sapiens (human)						7010
4 days - 9 months	9606	Homo sapiens (human)						7075
6 months to 5 years	9606	Homo sapiens (human)						7085
5 months to 5 years	9606	Homo sapiens (human)						7089
6 months to 15 years	9606	Homo sapiens (human)						7090
