as_location,occurrences
"Tables 1, S1 and Figures 2, 3, S2",11
"Table 3, Table 2",10
"Figure 2 and Supplementary Figure 1",10
"Table 3 and Supplemental Figure 4",10
"Dataset S8",10
"Figure 10",10
"Table 2, Supplementary File 1b and Figure 4-figure supplement 1",10
"Table II and Figure 2",10
"Figure 5E",10
"Table 1 and Figure 1, Table 1",10
"Supplemetal Figure 2",10
"Tables 2, S1",10
"Figure 1 and Table III",10
"Tables 1 and 2 and Figure 2",10
"Supplementary Figure 5",10
"Figure 1, Tables S1, S2",10
"Additional file 5",10
"Figure 3 and Supplementary Table S1",10
"Tabls S3, S4",10
"Text page 2620",9
"Figure 1 and Table 3",9
"Figure 3F",9
"Figure 4 and Table I",9
"Table 6 and Supplemental Table 2",9
"Figure 2 D",9
"Supplementary Table 1 and Table 1",9
"Text P. 487",9
"Text p 3468",9
"Figure 2 and Supplementary Table 1",9
"Table 1, Supplementary Figure 3",9
"Figure 1 and S1",9
"Figure 9 and Table 3",9
"Tables 3 and S6",9
"Figures 1, 2, and S1",9
"Table 1, Figure 1 and Supplementary Figure 1",9
"Supplementary Figure S9",9
"Figure 5, Table I",8
"Figure 5C",8
"Table 2, data not shown",8
"Supplementary Figure S6",8
"Figure 4 and Table 5",8
"Figure 6.2",8
"Table  2",8
"Supplemental Figure 3",8
"Figure 1, tables 1 and 3",8
"Supplementary Table A.2 and figure 1",8
"Figure 1, Figure 3",8
"Figure 6B",8
"Figures 1, 2, 4, 5",8
"Figures 1, 2 and table 1, Table 2",8
"Supplementary Table 2 and Table 1",8
Figure,8
"Figures 1, 3, Table 2",8
"Figure 3, Table III",8
"Tables 2, 3",8
"Figure 1, Supplemental Figure 1",8
"Figure 3 and Tables 1, 2, and 3",8
"Figure 4 and Tables 1, 2, and 3",8
"Figure 6 and Tables 1, 2, and 3",8
"Figure 7 and Tables 1, 2, and 3",8
"Figure 5 and Tables 1, 2, and 3",8
"Figure 1 and Tables 1, 2, and 3",8
"Figure 2 and Tables 1, 2, and 3",8
"Supplementary Figure  2",8
"Figure 2B and text page 2",8
"Figure 4A and Supplemental Figure 1",8
"Figure 1 and Extended Data Figure 1",8
"Figrure 2",8
"Figure 3C and Supplemental Figure S3",8
"Table 2 and Supplementary Figure 2",8
"Figure 6, and Supplemental Table S11",8
"Text page 1318",8
"Table S7 and Figure S10",8
"Figure 2 and S1",7
"Figures 3 and 6",7
"Table 3 and Figure 2",7
"Table SII",7
"Figures 1, 2 and 4",7
"Figure 1,Table1",7
"Supplementary Figure 12",7
"Table 2 and Figure 6",7
"Figure 4 and Supplemental Table 1",7
"Figures 2, 3, and 4",7
"Table II, Figure 1",7
"Figure 7b",7
"Figure 7, Figure 6 and Table II",7
"Figure 6, Table 4.",7
"Figure 7 anf Table S1",7
"Materials and Methods",7
"Figure1, Table 1",7
"Figures 5, 6, 7 and Table S2",7
"Figure S8 and Table S5",6
"Table VII and figure 2",6
"Table 1, Figure 1 and S1",6
"Figure 5 and Supplementary figure 1",6
"Supplemental Tables 4, 6",6
"Figures 2 and 3, Table 1",6
"Table 3 and Figure S2",6
"Figure 1, Figure 4",6
"Table S2 and Figures 6, 8",6
"Text p 1246",6
"Table 1, S1 and Figure 3",6
"Figure 5 and Table II",6
"Table I and Figure 4",6
"Table 2 (DR0402)",6
"Supplementary Table 1 and text page 403",6
"Table 1 and Figure 5, Figure 5",6
"Figures 5, S5 and Table S1",6
"Figures 2, 3 and 4",6
"Table  I",6
"Page 3394",6
"Results page 1727",6
"Figure 4, Table 1, Figure 3",6
"Figure 2, Table 4",6
"Figure 4, Table 2",6
"Table II and Figure 3",6
"Table 1, Figure 2",6
"Figures 4 and 5 and Table I",6
"Table 1 and Figure S2",6
"Supplementary Table I",6
"Figure 4 and Supplementary Table 1",6
"Table II and Figure 1",6
"Figure 3C-E",6
"Data file S6",6
"Tables 1, S2 and Figure 2",6
"Figure 4 and text page 912",6
"Figure 5 and Table1",6
"Figures 1, 2, and 3",5
"Figures 3, 4 and 5",5
"Tables SI and SIII",5
"Fig 2",5
"Figure  2",5
"Tables 1, 2, 3, 5, and 6, Figures 1 and 2",5
"Table I, Figure 1a, Figure 1b",5
"Supplementary Figure 10",5
"Table  1",5
"Figure 5 and Table 1",5
"Text page 4",5
"Table 1, Figure 1, Supplemental Table 1",5
"Table 1, Figure 1F",5
"Table 1 and  Figure 2",5
"Table 1, Figure S1",5
"Tables I and IV",5
"Supplementary Figure S2",5
"SI Figure 10",5
"Text p. 3166",5
"Figure 6 and Table 1",5
"Figure S13",5
"Figure 2h",5
"Figures 6 and 7",5
"Figures 4 and S3",5
"Figure 1, Table 2.",5
"Figures 6 and S9",5
"Figure 1 and supplementary Figure S1",5
"Figure 2f",5
"Figure 2g",5
"Suppplementary Figure 5",5
"Table S5 and Figure S6",5
"Figures 4, S4",5
"Table 1 and text page 15",5
"Table 1, Supplemental Table 6",5
"Table IV and Figure 6",5
"Table 3, Supplementary File 1b and Figure 4-figure supplement 1",5
"Figure 1, S1",5
"Table 4 and Figure 5",5
"Table 1 and Figure 1A",5
"Table S7 and Figure S17",5
"Figure 5 and Table I, Figure 4 and Table I",5
"Figures 2 and 5",5
"Supplemental Table S1 and text page 775",5
"Figure 1, 3 and Supplementary Figure 1",5
"Figure 3, Figure 3, Supplementary Figure 1",4
"Figures 3 and S1",4
"Table 7 and Figure 2",4
"Figure 7, Supplementary Figure 4",4
"Text in p.1476",4
"Tables 1, SI, and SIII",4
"Figure 5.A.",4
"Figures 3 and 6 and table I",4
"Figure  3",4
"Figure 3E",4
"Figures 3, 4, 5, and 7",4
"Table 2 and 3, Supplementary File 1b and Figure 4-figure supplement 1",4
"Tables IV and VI",4
"Figures 2 and 5, table III",4
"Table 1 and Figure S5",4
"Text p.1358",4
"Figure 7D",4
"Figure 7C",4
"Page 1533",4
"Table 1 and 2",4
"Table I, Figures 1 and 2",4
"Text p. 6180",4
"Figure 10 and text p. 11721, Table 2",4
"Table S2, Figure 5",4
"Supplementary Table 5 and Supplementary Figure 7",4
"Figures 2, 3, 4 and Tables 1 and S1",4
"Figure 5 and text p. 2100",4
"Figure 4 and Text p. 5086, Figure 3",4
"Figure 2 and 3",4
"Table III, Figure 4",4
"Figure 2e",4
"Table III and Figure 4",4
"Figures 1 and 3, Table 2.",4
"Figures 1, 2, S2, Tables 1 and 2",4
"Figure 1, Figure 2",4
"Author Provided, Table S2",4
"Supplementary Figure 13",4
"Figure 1, Additional file 6",4
"Figure 3 and S3",4
"Figures 1, 2 and Supplementary Figure 2 and Table 2",4
"Figures 1, 2 and Table S3",4
"Figure 1L",4
"Table I and Figure 6, Figure S3",4
"Figure 2 and 4",4
"Figure 2D and text page 2",4
"Figure 2C and text page 2",4
"Figure 7 and Text",4
"Figure 2, Table 1",4
"Table 1, Supporting Table 2, Figure 7 and Supporting Figure 7",4
"Figures 2 and 4, Table II",4
"Tabel II and Figure 4",4
"Figures 1 to 5",4
"Figure 4, Figure 3",4
"Supplementary figure S1",4
"Text page 5",4
"Figure 7 and Supplementary Figure 3",4
"Extended Data Figure 6",4
"Figure 3 and Table II",4
"Supplementary Table 7",4
"Tables 1 and  S1",4
"Figures 6, 7 and Table III",4
"Figures 1, 2, S1, S2, and Table 1",4
"Figure 8, Table 3",4
"Figure 6D-G",4
"Figure 4 and Text page 309",4
"Figures 2 and S9",4
"Supplementary Figures 2, 4",4
"Figure 5, Figure 5, Supplementary Figures 11, 12, 13 and Supplementary Table 5",4
"Figure 5 and Supplemetary Figure 10",4
"Fig. 1",4
"Supplementary Figures 6 and 7",4
"Figures 1, 2 and S2",4
"Figures 2 and 3, Table 2",3
"Tables II, III, and Figure 2",3
"Figures 4 and 6, Figures 2 and 3",3
"Text p. 506",3
"Figures 4, 5 and 6",3
"Figures 2, 3, and 4 and Table 2",3
"Figures 1, 2, and 6",3
"Figures 1-3",3
"Figure 1, Table 2",3
"Figures 2, 6, 7",3
"Figure 4, Extended Data Figures 7 and 9, and PDBs 7N2O, 7N2Q, and 8CX4",3
"Figures 2, 3, and 7, Table 1",3
"Figures 2 and 3, Table I",3
"Table I and Figure 1c",3
"Text p.6363",3
"Tables 6 and S1",3
"Supplementary Figure S3 and Table S1",3
"Figure 6 and Supplementary Figure 5",3
"Figures 2, 4, 5 and 6",3
"Figure 2, Table I",3
"Figures 2 and 6",3
"Table I, Figure 1",3
"Text p 5263",3
"Figure 3, Figure 1",3
"Figure 4, Extended Data Figures 7 and 9, and PDBs 7N2S, 7N2N, and 7N2R",3
"Fig. 4B",3
"Fig. 4A",3
"Figure 4A and Table III",3
"Figure 6 and Table IV",3
"Figures 2 and 4, Tables 1 and 3",3
