word_normalized_h_age
9 week
45-66 year
8 week
8-12 week
null
null
7 to 9 week
33-67 year
12-16 week
6 to 12 week
null
8 to 12-week
22-32 year
null
1 year
8-34 year
4-6 week
null
25 to 61 year
3 week
null
43 year
31-80
6 week
31-37
1-52 year
! Invalid words: ['ages'] !
8-12 week
6-8 week
neonate
> 9 year
! Invalid words: ['at', 'least'] !
8-24 week
! Invalid words: ['at', 'birth'] !
adult
21-84 year
6-8 week
12-14 week
8-25 year
19-39 year
null
null
6-10 week
65 year
6 to 10 week
8-24 week
6-8 week
47
8-10 week
null
8-12 week
null
66-88
34-35 year
34-41 year
53 year
4-5 week
6-16 week
8-24 week
> 10 year
6-8 week
5-6 week
6-10 week
5-10 year
4-15 year
19 to 91 year
null
3-4 week
45-55 year
5-6 week
10 week
mean: 30 year
8-14 week
6-8 week
4 to 8 week
29 to 53 year
8-20 week
23-34 year
22 year
2-6 month
8-12 week
8-12 week
8 week
null
22 week
7 week
null
13-64 year
60-95 year
35 year
16-50 year
6-10 week
6-8 week
> 8 week
6-8 week
3 month
null
6 week
! Invalid words: ['of'] !
4-5 week
23 to 55 year
6-7 week
8 week
8-12 week
8-12 week
> 8 week
null
6-week
50-65 year
12 to 16 week
7 to 10 week
16 week
25-40 year
12-16 week
12-16 week
29 to 36 year
8 week
5 week
8 week
null
8-12 week
6-10 week
8-12 week
21-46 year
8-13 week
8-10
20-45 year
18 to 40 year
8 week
6-8 week
8-24 week
null
58 year
21-87 year
18-65 year
25-38 year
8 week
23-32
8 to 10 week
3-5 week
21-62 year
4-8 week
8-9 week
7-8 week
9 week
null
7 to 12 week
null
9 week
22-59 year
8-12 week
6-10 week
23-66 year
29-67 year
8-12 week
7-17 year
8-78 year
null
1 month
null
6-7 week
null
null
null
null
null
24-73 year
null
22-36 year
6-12 week
34 year
45-72 year
6-10 week
8-20 week
! Invalid characters: ['~'] !
42-67 year
50 year
null
6-10 week
6-10 week
32-43 year
6-8 week
8-15 week
54 year
null
8-16 week
50-73 year
7 week
52-62 year
42
23 year
23 and 61 year
10-36 year
20-56 year
31
31-42
11-62 year
57 to 75 year
29-70
8-14 week
null
6-10 week
64 year
59-61 year
5-6 week
32-74
4-5 year
8 week
7-12 week
6-8
50-69 year
20-52 year
26
42 year
9 week
18-70 year
39 to 67 year
1.1-11.6 year
6-8 week
17-65 year
2-day
2 month
11 or 18 week
11-50
10-15 year
6-12 week
8-12 week
null
6-8 week
7-12 week
39-73 year
13-82 year
18-61 year
10 to > 90 year
8-12 week
6-8 week
6-8 week
9-72
6-8 week
4 to 8 week
6-8 week
6-8 week
! Invalid words: ['hour', 'of', 'parturition', 'within'] !
6 to 8-week
6-8 week
0.5-15 year
7-9 week
6-8 week
21-30 year
6-8 week
10-12 week
5-8 week
4-8 week
30-60 year
18 week
< 11 year
8-14 week
26 year
43 year
5-8 week
6-7 week
25-88 year
20-72 year
6-8 week
null
3 week
2 month and 5 month
6-7 week
8-10 week
8-10 week
7 day
7 day
28 to 33 year
42 to 43 year
5 month
6-9 week
6 week
45.8 year
22 to 42 year
8-16 week
20 to 69 year
28 to 30 year
8-12 week
null
2-6 month
6-12 week
7-12 week
newborn
5 or 6 week
6-12 week
20 to 64 year
8-24 week
! Invalid words: ['older'] !
8-24 week
8-24 week
6-8 week
9.5 month
3-6 week
8-24 week
26-58 year
6-12 week
8-24 week
null
2-4 month
1-14 year
12 week
null
23-44 year
6 week
46.3-66.3 year
25.5 - 56 year
12-13 week
null
44
6-8 week
46 year
18, 35 year
6-8
6 to 8 week
5 year
6-10 week
11 week
adult
6 to 8 week
6-8
2-3 month
54 year
3 week
! Invalid words: ['yo'] !
null
20 year
6-8 week
5 or 8 week
7 week
6 to 8 week
7-12 week
1 week
24-51 year
21-58 year
6-10 week
20-69 year
2.5-6 month
6 to 12 week
null
8-14 week
35.4 year. mean
14 to 53 year
41 year
null
6-8 week
7 to 14 week
4-8-week
6-8 week
8 week
37 year
6 week
6-15 week
6-8 week
null
6-10 week
9.4 month
8-10 week
8-15 year
null
5 week
null
6-42 year
21-53 year
3-52 year
7-8 week
57 year
25-58 year
13 year
young
median 11.3 year
8-10 week
8-10 week
8-10 week
10 week
12-20 week
8-12 week
9 week
neonate
2 week
12 week
null
null
6 week
2 month to 52 year
16-50 year
6-8 week
8-14 year
median 6.3 year
7-15 week
null
8 week
null
null
7-48 year
8 to 10 week
6-8 week
4 week
11 week
46 to 92 year
8 week
14 week
3-4 week
null
8-12 week
23-48 year
null
6 to 12 week
7-10 week
4-6 week
null
1-16 year
10-16 week
8 to 12 week
22-35 year
16-43 year
4 week
4 to 6 week
4-6 week
8-12 week
4 week
10-12 week
1 month
6-41 year
8 to 10 week
6-64 year
6-8 week
4 to 5 week
2-25 year
7 day
25
49
6-12 week
9-20 week
20-40 year
6-8 week
5 week
66-86 year
18-65 year
6-10 week
17
8-12 week
4-20 week
8-10 week
6 week
13-31 year
4-12 week
9 or 20 week
12 week
4 week
null
8-10 week
null
9-25 year
adult
null
63-82 year
16-36 year
7-11 week
8-11 week
20 week
8-12 week
12 week
8-12 week
20-27 week
1-32
5-10 week
25-80 year
6-18 week
8-12 week
2-15 year
2-16 year
6-8 week
21-52 year
6-16 week
3-34 year
2-3 month
6 week
8-10 week
10-14 week
8-14 week
null
mean = 28.5 +/- 15.0
35-45 year
21-59 year
13-56 year
> 16 week
2-3 month
2-3 month
7-9 week
5-7 week
3-22 year
> 16 year
4 to 16 year
14 to 51 year
> 6 month
null
18-43 year
20-26 year
2-3 month
27-41 year
14 to 24 year
24-66 year
6-8 week
null
10-14 week
12 week
5-38 year
3 month
2, 3, or 4 month
12-13 week
10.1 +/- 3.6 year
9 week
8-10 week
6-15 week
41-73
8 to 12 week
null
2-12 month
8-12 week
34 to 66 year
25 to 67 year
8-12 week
32-58
28 to 64 year
28 to 61 year
newborn
33-77 year
6 to 7 week
2-3 month
14-20 week
6 to 8 week
6 week
5 to 6 week
7-8 week
7-9 week
16-73 year
6 to 10 week
8-10 week
8-10 week
mean 26.5 year
5 to 8 week
4 to 8 week
4 to 6 week
null
3 to 4 month
21-91 year
18-85 year
null
null
8 to 12 week
33 to 57 year
5 to 7 week
null
6 week
12- 14 week
null
8 to 13 week
18-82 year
2 to 3 month
51 year
8-12 week
64-86 year
8 -12 week
6 to 10 week
10 to 12 week
9-11 week
22 to 56 year
4 to 6 week
29 to 54 year
4-6 week
6 to 10 week
null
2 month
young adult
5 to 8 week
5 to 8 week
young adult
null
adult
6 to 8 week
6 to 8 week
8 to 10 week
8 to 12 week
18-51 year
13-31 week
38.6 year (mean )
6 to 8 week
5-7 week
8 to 10 week
8 to 12 week
8 week
36-55 year
2-12 month
8 to 12 week
2 month or 2-10 month
22-77 year
27-58 year
7 month
10-13 week
10-13 week
null
6 to 8 week
5 month
8 to 12 week
26-42 year
6-10 week
36-43 year
33-56 year
2.5-4 month
23 to 52 year
8-10 week
14-60 year
89.7 year
14-20 week
6-10 week
14-20 week
6 week
14-20 week
8 week
7-9 week
7-9 week
7-9 week
7 week
mean = 19.2 year
51
8 to 10 week
50-58
30-45
20-63 year
40-69 year
4-17 year
7-15 year
28-44
1-2 month
24-50 year
28-53 year
24-53 year
2-4 month
24-44 year
2-4 month
24-42 year
25-57 year
22-44 year
14-59 year
10 to 12 week
2-4 month
54
30-56 year
41-69 year
3-45 year
13-46 year
6 to 8 week
! Invalid words: ['birth', 'hour', 'of', 'within'] !
13 day
10 to 12 week
2-6 month
17-36 year
8 to 14 week
8-10 week
8-10 week
8-10 week
8-10 week
! Invalid words: ['older'] !
36 to 79 year
18-60 year
6 to 14 week
27-54 year
50 day
27-79 year
25-44 year
neonate
27 week
6 to 8 week
26 year
36
null
33-64 year
13-20 year
43
48
29
3 month
3-6 month
43 year
2-3 month
6 to 10 week
10-12 week
27
null
21-83 year
4 to 8 week
38
24 to 32 year
12-14 week
12-14 week
2 to 3 month
19-32 year
8 month
31-88 year
3 week
15-20 week
5-9 week
8 week
10 week
adult
null
10-15 week
4-8 week
39-46 year
45 year
8 to 10 week
6-12 week
4-8 week
39 year
2 month
4 to 5 week
8-10 week
45-52
6 to 8 week
6 -10 week
5 to 6 week
10-14 week
4-8 week
8-10 week
37-62 year
1-18 year
1-55 year
12-20
10-14 week
41-64 year
30-78 year
7-10 week
null
5 week
48 year
12-14 week
24-39 year
4 to 6 month
12-23 week
2-6 month
4-8 week
17-66 year
null
null
adult (mean. = 30.8 year)
27-66 year
21-56 year
8 to 12 week
29-76 year
20-55 year
28-35 year
! Invalid words: ['hour'] !
8-12 week
5 - 8 week
null
49 year
4-6 week
10 - 15 year
4 week
6-8 week
25-68 year
null
26-60 year
8 to 10 week
7 to 15 week
7 to 15 week
null
6-35 week
8-12 week
5-10 week
37-74 year
7-10 week
5-8 week
! Invalid words: ['after', 'birth', 'hour'] !
38-57 year
27-44 year
6-12 week
60 year
3 week
null
7-11 week
6 to 8 week
8-10 week
null
null
8 week
39-47 year
5 to 7 week
19-25
19-26
null
37-53 year
child (mean. = 9.5 year)
> 27 week
8-10 week
6 week
31-57 year
3 to 5 month
null
14-49 year
null
8-12 week
31-76 year
21-31 year
6-10 week
6-12 week
8-12 week
39
6-8 week
53 to 71 year
4-5 week
4 month
31 year
8-12 week
21-27 year
null
14-46 year
8-10 week
8-12 week
8 to 12 week
18 to 70 year
20-78 year
18-71 year
22-76 year
30-72 year
null
null
4-12 week
57.1-70.1 year
6-12 week
8-12 week
8-12 week
null
6 week
14-86 year
30-74 year
18-49 year
31 year
null
30-83 year
19-95 year
neonate
mean 31 year
! Invalid words: ['older'] !
26-34 year
8-12 week
26 to 53 year
27-62 year
14-44 year
5-12 week
18 to 59 year
6 to 12 week
1 year
14-26 year
8 to 12 week
16-24 year
6-9 week
4-6 week
null
null
8-10 week
8-10 week
20 week
22-84 year
21-72 year
29-55
5.5-7.5 month
7 week
8-12 week
19-48
7-12 week
34-60 year
34-58 year
10-12 week
13 day
7-12 week
7-12 week
6 to 12 week
null
8-12 week
3 to 21 year
23-69 year
26-52 year
null
2 month
null
8-11 week
3 - 4 week
23-53
24-36
8-16 week
3 month
2-4 month
57 year
16 - 24 week
2 to 4 month
median 28 year
7 week
3-20 week
12-16 week
16-46 year
15
6 month
28-39 year
33-50 year
25-60 year
25-72 year
39-82 year
10-12 week
4-7 week
4 - 5 week
5-7 week
36-65 year
4.5 - 6 month
5-7 week
2-3 month
2-3 month
5 week
43-65
6-8 week
18-36 year
2-4 month
12-16 month
7-12 week
7-9 week
8-14 week
null
6 to 8 week
7 week
15-20 week
7 week
neonate
mean 65 year
8 to 12 week
8-12 week
8 to 12 week
8-12 week
10 to 12 week
36-39 year
4-7 week
neonate and adult
52-89 year
50 year
8-24 week
8-20 week
< 70 year
56 year
8 to 14 week
8 to 24 week
6 week
16-75 year
! Invalid words: ['embryo'] !
null
8-36 year
8-53 year
20-27 year
3 to 5 month
8 to 12 week
18-86 year
21-67 year
4-5 week
26-59 year
8 to 20 week
6-12 week
5-16 year
7 to 10 week
33 year
2-6 month
6 week
7-10 week
7-10 week
60-62 year
68 year
18-70
5-6 week
8 to 10 week
10 to 14 week
7-78 year
8 to 10 week
null
25-55 year
! Invalid characters: ['~'] !
15 week
8-12 week
null
8-12 week
8-10 week
6-8 week
null
18 week
6-10 week
5 to 6 week
8 week
null
46-48 year
4-week
4-8 week
18-50 year
8-12 week
52-59 year
! Invalid words: ['hour'] !
5 week
18-40 year
8 week
6-8 week
28 to 68 year
6 to 8 week
8 week
8-15 week
1 day
39-63 year
11 to 74 month
adult
6-8 week
18-38 year
57-62 year
3-14 year
63 year
10 to 12 week
38 year
20-64 year
6-8 week
null
adult (15-44)
8 to 12 week
8-14 week
19-77 year
4-6 week
23-67 year
47-65 year
18-63 year
26-63 year
36 year
4-week
19-53 year
25-31 year
2 month
7-8 week
8-10 week
8-24 week
6-7 week
40 year
calf
6-10 week
3 to 6 month
newborn
2 month
8-10 week
8-10 week
12 month
adult
adult
4 week
29-82 year
null
mean 34.4 year
3 week
4-6 week
4-6 week
6-10 week
2-3 month
7-8 week
null
19 to 56 year
11-19 year
4-5 month
6-8 week
null
6-8 week
22-45 year
9-12 month
6-10 week
6-8
6-8
5-16 week
6-8
18-50 year
null
> 6 month
null
9-12 month
6-12 week
6-12 week
6-12 week
6-12 week
40-60 year
6-8 week
0.8 year
4.1-15.2 year
2 year
4 week - 3 month
4-8 week
1 year
3-8 year
23-43 year
5 week
6-10 week
41-68 year
5-7 week
9 week
mean = 30 year
4 week
60-90 day
6-12 week
26-80 year
11 week
8-9 week
9 week
2-5 year
6 month
8-14 week
8-10 week
6-8 week
4-6 month
3-4 week
8 week
8 week
8 week to 6 month
8 week to 6 month
8 week to 6 month
10 week
8 week
8 week
20-83 year
6 week
24-47 year
8 to 14 week
8 to 14 week
8-15 week
8-12 week
4-6 week
8 to 14 week
42.8-66.5 year
20 to 79 year
6-10 week
null
3 week
3 week
8 to 14 week
8 to 14 week
8 to 14 week
6-8 week
8 to 10 week
5-8 week
12 week
16 week
65-74 year
74 year
20-57 year
5-8 week
10-14 week
3-4 week
44.9 to 74.1 year
6 week
null
32-70 year
37-66 year
8 week
23-81 year
12-64 year
11-18 year
23 day
null
6-8 week
7-8 year
null
! Invalid words: ['older'] !
21-35
2 month
null
6-9 week
7-8 week
6 to 8 week
6-8 week
68-76
25-37
42-62 year
6-9 day
null
53-54 year
2 month
8 to 12-week
6-8 week
14-74
6-9 day
8-10 week
26-79 year
> 45 year
8-20 week
24 to 46 year
25-73
24-58 year
6-8 week
8 week
80 day
52.2 - 69 year
1-12 year
6 month
2 month
6-9 week
null
8-20 week
> 18 year
14-55 year
20-51
6-8 week
10-12 week
null
27 to 56 year
10-13 day
6 week
null
22-35 year
newborn
15-18 month
7.5-8 week
15 week
8-16 week
19-48 year
55-60 year
8-14 week
null
60
81 year
8 week
34
48 year
22-54 year
6 week
23-45 year
6 week
6-8 week
6 week
6 week
null
4 year
53 year
38-53
mean = 27 year
36-37 year
adult
null
null
3-12 year
7-8 week
8-12 week
9-10 week
8-9 week
3 - 4 week
3-5 week
28-58 year
1-2 year
6-18 week
32-37 year
6-16 week
8-16 week
null
null
null
74 year
16-53
null
null
2-8 year
4 week
null
19-57
calf
18-64 year
null
! Invalid words: ['cows'] !
53 year
11 week
2-6 month
23 year
8 to 10 week
8-12 week
8-10 week
8-12 week
30-78
38-50 year
23-45 year
30-45 year
23-35 year
8 year
4 week
6-12 week
6-12 week
null
6-12 week
6-12 week
6-12 week
2 month
50 day
35 to 41 year
47 to 53 year
2-3 month
4 to 6 week
null
12 month
8-10 week
29 year
24 year
24-32 year
4-6 week
10 day
7 to 10 week
8-10 week
68 year, and 70 year
young adult
mean = 49.2 year
42-61 year
null
11 to 47 year
27-29 year
7-8 week
null
6-12 week
6 to 7 week
12 week
3 week
16 week
10 to 12 week
1-7 year
25-52 year
6-12 week
11-42 year
20 month
31-58.8 year
6-11 week
23-58 year
18-41 year
24-46 year
null
2 to 4 week
4-14 week
13-45
12-43
4-9 week
6 - 8 week
46
10-52
53-83 year
12-41
6 - 8 week
13
54-81 year
median 5.5 year
30-48 year
27-70 year
null
6-10 week
8-12 week
8 to 10 week
32 to 65 year
27 to 51
4-5 week
11 week
null
8 to 10 week
! Invalid words: ['less'] !
12-24 week
1 month
7 day
null
juvenile
1.8-18 year
7-40 year
8-29 year
2-62 year
33-75 year
6 to 16 week
67 year
> 24 week
8 week
24-65 year
19-65 year
6 week
7-17 week
7 to 15 week
null
40
9-20 week
7 to 15 week
14-25 year
10 week
29-49 year
4 week
4 to 7 week
17 week
12-15 week
5-12 week
> 6 week
27- 76 year
null
null
5-8 week
4 week
7 to 10 week
null
4 week
65 day
adult
17-46 year
17-20 year
16-26 week
null
12 year 9 month
13-15 year
null
7-8 week
19
20-25 year
4.5 week
null
28
3 month
8 to 12 week
4-12 week
12-20 week
4-8 week
47-56 year
6-10 week
60-91 year
24-day
8 week
1.5-22 month
1.5-18 month
6-8 week
24-52 year
3-8 month
null
null
null
null
3-8 month
2 year
21-45 year
3 to 8 week
27-29 day
33-36 day
8 week
4-6 week
null
8 week
null
5-8 week
2 to 4 month
27-57 year
50 +/- 15 year
40 +/- 12 year
28-48 year
8-20 week
50 year
null
21-48 year
null
21-75 year
8-12 week
null
6-8 week
2 to 4 month
17 to 74 year
8 to 10 week
8 to 10 week
8 to 10 week
8 to 10 week
null
6 to 12 week
null
adult
24-49 year
6 week
3-22 month
4 to 6 week
4 to 6 week
6-10 week
8 week
null
6 to 8 week
20-65 year
4 month
> 8 week
40 -58 year
6-8 week
6-8 week
6-8 week, and 4 month
young adult
12 to 24 week
24-32 year
6 to 35 month
null
21-77 year
null
null
72 to 90 year
20-47 year
31-68 year
31 to 68 year
8 to 16 week
5-7 week
null
29-60 year
33 to 66 year
null
29-65 year
6-9 week
17-66 year
8-12 week
4 to 12 week
mean 46 year
12 year
21-41 year
28 to 63 year
2.5-25.4 year
6-10 week
6-8 week
null
6 to 12 week
5 week
19-57 year
2 to 6 month
6-14 week
> 6 week
8 week
null
6-10 week
22-69 year
8 - 10 week
3 to 8 week
7-16 week
21 to 40 year
null
15-62 year
< 3 year
43-84 year
8 week
12 week
12 week
6-8 week
16 +/- 11 day
41 +/-13 year
54 +/-10 year
7-13 week
23-64
7-74 year
6 to 7 week
5-7 week
null
adult
adult
2-12 month
19 year
23-55 year
32-69 year
null
2-12 month
2-12 month
6 week
34 to 73 year
22 to 82 year
35-60 year
6 week
6 to 7 week
2-4 month
null
3 month
6 to 10 week
1 month
4-8 month
20 - > 65 year
null
3 month
6-8 week
null
18-60 year
null
10 to 16 week
17 to 78 year
8-12 week
null
4 to 6 week
7-70 year
12-48 week
mean 34.6 year
mean 50.7 year
mean 40 year
1.5-3 year
8-12 week
8-16 week
4 month
null
23 to 81 year
38 to 71 year
8-12 week
2-20 month
22 - 64 year
25-56 year
8 to 10 week
9-35 year
12-36 year
8 to 14 week
26-58 year
4 week
8-12 week
null
6-8 week
28-61 year
12-29 year
8-20 week
8-12 week
8-12 week
8-12 week
8-12 week
8-12 week
8-12 week
8-12 week
2 to 3 month
null
27-49 year
8 - 9 week
6 week
6-7 week
5 to 10 week
8-12 week
2-6 month
12 to 14 week
12 to 14 week
12 to 14 week
null
8-16 week
32-63
33-45 year
26-44 year
8-10
45
48-59 year
21 to 68 year
null
5-8 week
null
28-64 year
2.5-6 month
10 to 14 week
5 week
2-12 month
8-10
5 to 8 week
6 to 8 week
8-14 week
2-4 month
8-12 week
7 to 14 week
8-10 week
10 to 12 week
7 to 14 week
2.5-6 month
63-85 year
21-73 year
6-8 week
2-12 month
5-8 week
28-36 year
33-39
6 week
37-45 year
null
2 to 3 month
8 to 13 week
25-54 year
26-55
9-66 year
63-66 year
26-93 year
5-16 week
5-16 week
8-12 week
34-72 year
19-31 year
5 to 12 week
5 to 12 week
5 to 12 week
6 to 8 week
5-16 week
7-12 week
12-16 week
8-12 week
8-12 week
29-42 year
10 to 14 week
null
8 to 20 week
null
29 to 61 year
5 to 8 week
42 to 100 day
42 to 116 day
30 to 40 day
6-10 week
24-40 year
22 to 59 year
24 to 48 year
70 year
8-12 week
6-12 week
26 to 64 year
7-12 week
6 to 12 week
neonate
6 to 9 week
24-38 year
37-78 year
2 to 76 year
6 to 83 year
24 to 68 year
null
! Invalid words: ['hour'] !
adult (> 18 year)
60-72 year
39-43 year
19-72 year
18-75 year (mean 39.1)
18-75 year (mean 46)
6 week
6 week
23-37 year
5-8 week
7-8 week
8 -11 week
