h_age	h_organism_id	h_organism_name	index	char_normalized_h_age	char_normalized	char_valid?_h_age	char_normalization_score_h_age	word_normalized_h_age	word_normalized	word_valid?_h_age	word_normalization_score_h_age	phrase_normalized_h_age	phrase_normalized	phrase_valid?_h_age	phrase_normalization_score_h_age	overall_normalization_score_h_age	curator_review
6-8	10000916	Mus musculus C3H/He-mg	1070	6-8	N	pass	0	6-8	N	pass	0	6-8	N	fail	0	0	
7 yo 8 weeks	10000576	Mus musculus HLA-A*02:01 Tg	1074	7 yo 8 weeks	N	pass	0	7 yo 8 week	Y	pass	1	7 yo 8 week	N	fail	0	1	
35.4 yrs. Average	9606	Homo sapiens (human)	1091	35.4 yrs. average	Y	pass	1	35.4 year. average	Y	pass	3	35.4 year. average	N	fail	0	4	
Median age 11.3 years	9606	Homo sapiens (human)	1120	median age 11.3 years	Y	pass	1	median age 11.3 year	Y	pass	1	median age 11.3 year	N	fail	0	2	
2 months to 52 years	9606	Homo sapiens (human)	1134	2 months to 52 years	N	pass	0	2 month to 52 year	Y	fail	2	2 month to 52 year	N	fail	0	2	
Median age 6.3 years	9606	Homo sapiens (human)	1138	median age 6.3 years	Y	pass	1	median age 6.3 year	Y	pass	1	median age 6.3 year	N	fail	0	2	
25	9606	Homo sapiens (human)	1180	25	N	pass	0	25	N	pass	0	25	N	fail	0	0	
49	9606	Homo sapiens (human)	1181	49	N	pass	0	49	N	pass	0	49	N	fail	0	0	
17	9606	Homo sapiens (human)	1190	17	N	pass	0	17	N	pass	0	17	N	fail	0	0	
1-32	9606	Homo sapiens (human)	1215	1-32	N	pass	0	1-32	N	pass	0	1-32	N	fail	0	0	
Mean=28.5 ± 15.0	9606	Homo sapiens (human)	1232	mean=28.5 +/- 15.0	Y	pass	4	mean=28.5 +/- 15.0	N	pass	0	mean=28.5 +/- 15.0	N	fail	0	4	
10.1 ± 3.6 yr	9606	Homo sapiens (human)	1261	10.1 +/- 3.6 yr	Y	pass	3	10.1 +/- 3.6 year	Y	pass	2	10.1 +/- 3.6 year	N	fail	0	5	
