unit	median_age	h_age	h_organism_id	h_organism_name	index	normalized_h_age	normalized_h_age_style=age	exact_age	minimum_age	maximum_age	mean_age	age_list	age_description	age_data_type
year		22 to >60 years	9606	Homo sapiens (human)	4135	22 to >60 year	22 to >60 year		22					manual
month		12-16 weeks or 18-22 months	10000067	Mus musculus C57BL/6	4150	12-16 week or 18-22 month	12-16 week or 18-22 month		2.762	22				manual
year		18 years or older	9606	Homo sapiens (human)	4165	18 year or older	18 year or older		18					manual
year		42 and 43 years	9606	Homo sapiens (human)	4188	42 and 43 year	42 and 43 year		42	43				manual
month		12 weeks - 22 months	10000067	Mus musculus C57BL/6	4197	12 week - 22 month	12 week - 22 month		2.762	22				manual
year		32 or 34 years	9606	Homo sapiens (human)	4218	32 or 34 year	32 or 34 year		32	34				manual
month		12 weeks to 20 months	10000067	Mus musculus C57BL/6	4225	12 week to 20 month	12 week to 20 month		2.762	20				manual
month		6 weeks to 20 months	10000067	Mus musculus C57BL/6	4226	6 week to 20 month	6 week to 20 month		1.381	20				manual
		58.8 (average)	9606	Homo sapiens (human)	4252	58.8 (average)	58.8 (average)				58.8			manual
week		10 weeks or older	10000632	Mus musculus NOD	4273	10 week or older	10 week or older		10					manual
week		over 5 weeks	10000067	Mus musculus C57BL/6	4332	over 5 week	over 5 week		5					manual
year		21, 25 and 44 years	9606	Homo sapiens (human)	4339	21, 25 and 44 year	21, 25 and 44 year		21	44				manual
year		21 and 44 years	9606	Homo sapiens (human)	4349	21 and 44 year	21 and 44 year		21	44				manual
year		16 and 44 years	9606	Homo sapiens (human)	4351	16 and 44 year	16 and 44 year		16	44				manual
year		38 and 48 years	9606	Homo sapiens (human)	4353	38 and 48 year	38 and 48 year		38	48				manual
year		38 and 44 years	9606	Homo sapiens (human)	4354	38 and 44 year	38 and 44 year		38	44				manual
year	66.5	median 66.5 years	9606	Homo sapiens (human)	4401	median 66.5 year	median 66.5 year							manual
year		Mean age of 32.2 years with a range from 18 to 49 years	9606	Homo sapiens (human)	4408	mean age of 32.2 year with a range from 18 to 49 year	mean age of 32.2 year with a range from 18-49 year		18	49	32.2			manual
year		3 months- 17 years	9606	Homo sapiens (human)	4452	3 month- 17 year	3 month- 17 year		0.25	17				manual
year	58	median 58 years	9606	Homo sapiens (human)	4519	median 58 year	median 58 year							manual
year		1 day to 40 years	9606	Homo sapiens (human)	4528	1 day to 40 year	1 day to 40 year		0.003	40				manual
week		over 12 weeks	10000632	Mus musculus NOD	4651	over 12 week	over 12 week		12					manual
year		60+ years	9606	Homo sapiens (human)	4659	60+ year	60+ year		60					manual
year		7 months to 44 years	9606	Homo sapiens (human)	4667	7 month to 44 year	7 month to 44 year		0.583	44				manual
year		4-18+ years	9606	Homo sapiens (human)	4772	4-18+ year	4-18+ year		4					manual
year		55 years (mean)	9606	Homo sapiens (human)	4776	55 year (mean)	55 year (mean)				55			manual
		16-Feb	9606	Homo sapiens (human)	4832	16-feb	16-feb						16-feb !	manual
		14 and younger	9606	Homo sapiens (human)	4839	14 and younger	14 and younger			14				manual
week		2-day to 6-week old	10000000	Mus musculus BALB/c	4870	2-day to 6-week old	2 day to 6 week		0.286	6				manual
month		6-24 mo of age	9606	Homo sapiens (human)	4876	6-24 month of age	6-24 month of age		6	24				manual
year		2 to >20 years	9606	Homo sapiens (human)	4901	2 to >20 year	2 to >20 year		2					manual
year		3 months to 7 years	9606	Homo sapiens (human)	4965	3 month to 7 year	3 month to 7 year		0.25	7				manual
week		up to 12 weeks old	10000047	Mus musculus C57BL/10	4971	up to 12 week old	up to 12 week			12				manual
year		Younger than 35 years	9606	Homo sapiens (human)	4975	younger than 35 year	younger than 35 year			35				manual
year		Children <5 years old	9606	Homo sapiens (human)	4994	children <5 year old	children <5 year			5			child	manual
month		8 weeks or 12 months	10000000	Mus musculus BALB/c	5011	8 week or 12 month	8 week or 12 month		1.841	12				manual
year		2 and 64 years	9606	Homo sapiens (human)	5033	2 and 64 year	2 and 64 year		2	64				manual
year		16 weeks-40 years	9606	Homo sapiens (human)	5040	16 week-40 year	16 week-40 year		0.307	40				manual
		37 average	9606	Homo sapiens (human)	5098	37 average	37 average				37			manual
year		65 and 74 years old	9606	Homo sapiens (human)	5110	65 and 74 year old	65 and 74 year		65	74				manual
week		up to 12 weeks old	10000263	Mus musculus B10.BR	5125	up to 12 week old	up to 12 week			12				manual
week		up to 12 weeks old	10090	Mus musculus (mouse)	5130	up to 12 week old	up to 12 week			12				manual
year		1.5-7years	9606	Homo sapiens (human)	5137	1.5-7years	1.5-7years		1.5	7				manual
year		2 months to 14 years	9606	Homo sapiens (human)	5146	2 month to 14 year	2 month to 14 year		0.167	14				manual
		25-30 grams	10000000	Mus musculus BALB/c	5171	25-30 grams	25-30 grams						25-30 grams !	manual
year		6 months to 3 years	9606	Homo sapiens (human)	5220	6 month to 3 year	6 month to 3 year		0.5	3				manual
year		birth - 5 years	9606	Homo sapiens (human)	5230	birth - 5 year	birth - 5 year			5				manual
		Adult (18-49)	9606	Homo sapiens (human)	5267	adult (18-49)	adult (18-49)		18	49			adult	manual
		20-25 g	10000000	Mus musculus BALB/c	5272	20-25 g	20-25 g						20-25 g !	manual
		Child (5-11)	9606	Homo sapiens (human)	5326	child (5-11)	child (5-11)		5	11			child	manual
year		6 months to 53 years	9606	Homo sapiens (human)	5328	6 month to 53 year	6 month to 53 year		0.5	53				manual
year		8 mo to 35 years	9606	Homo sapiens (human)	5429	8 month to 35 year	8 month to 35 year		0.667	35				manual
year		7 months to 14 years	9606	Homo sapiens (human)	5433	7 month to 14 year	7 month to 14 year		0.583	14				manual
year		>/= 18 years	9606	Homo sapiens (human)	5456	>/= 18 year	>/= 18 year		18					manual
year		2 months-12 years	9606	Homo sapiens (human)	5461	2 month-12 year	2 month-12 year		0.167	12				manual
year		35 years mean age	9606	Homo sapiens (human)	5476	35 year mean age	35 year mean age				35			manual
year		Mean age = 41.7 ± 15.1 years	9606	Homo sapiens (human)	5512	mean age = 41.7 +/- 15.1 year	mean age = 41.7 +/- 15.1 year		26.6	56.8	41.7			manual
year		Mean age = 39.8 ± 13.3 years	9606	Homo sapiens (human)	5519	mean age = 39.8 +/- 13.3 year	mean age = 39.8 +/- 13.3 year		26.5	53.1	39.8			manual
year		6 months - 47 years	9606	Homo sapiens (human)	5530	6 month - 47 year	6 month - 47 year		0.5	47				manual
year		Mean age = 58±12 years	9606	Homo sapiens (human)	5614	mean age = 58+/-12 year	mean age = 58 +/- 12 year		46	70	58			manual
year		newborns - 29 years	9606	Homo sapiens (human)	5637	newborns - 29 year	newborns - 29 year			29				manual
year		1 year 5 months to 15 years 8 months	9606	Homo sapiens (human)	5639	1 year 5 month to 15 year 8 month	1 year 5 month to 15 year 8 month		1.417	15.667				manual
month		6 days to 7  months	10000639	Mus musculus NZB	5654	6 day to 7 month	6 day to 7 month		0.197	7				manual
month		3 weeks - 6 months	9796	Equus caballus (domestic horse)	5671	3 week - 6 month	3 week - 6 month		0.69	6				manual
year		3 months to 11 years	9606	Homo sapiens (human)	5679	3 month to 11 year	3 month to 11 year		0.25	11				manual
year		adult, >32 years	9606	Homo sapiens (human)	5704	adult, >32 year	adult, >32 year		32					manual
year	4	median 4 years	9606	Homo sapiens (human)	5710	median 4 year	median 4 year							manual
year		3 weeks-15 years	9606	Homo sapiens (human)	5755	3 week-15 year	3 week-15 year		0.057	15				manual
