before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	241
4-5 weeks	N	N	N	N	N	N	N	4-5 weeks	242
5 weeks	N	N	N	N	N	N	N	5 weeks	243
2 months	N	N	N	N	N	N	N	2 months	244
8-12 wks	N	N	N	N	N	N	N	8-12 wks	245
3 months-old	N	N	N	N	N	N	N	3 months-old	246
8 weeks	N	N	N	N	N	N	N	8 weeks	247
29-38 years	N	N	N	N	N	N	N	29-38 years	248
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	249
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	250
NULL	N	N	N	N	N	N	Y	null	251
7-10 weeks-old	N	N	N	N	N	N	N	7-10 weeks-old	252
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	253
NULL	N	N	N	N	N	N	Y	null	254
8-yr-old	N	N	N	N	N	N	N	8-yr-old	255
8-weeks-old	N	N	N	N	N	N	N	8-weeks-old	256
38-59 years	N	N	N	N	N	N	N	38-59 years	257
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	258
28-42 years	N	N	N	N	N	N	N	28-42 years	259
NULL	N	N	N	N	N	N	Y	null	260
6 months	N	N	N	N	N	N	N	6 months	261
8-12 weeks old	N	N	N	N	N	N	N	8-12 weeks old	262
8-12 wk	N	N	N	N	N	N	N	8-12 wk	263
23-55 years old	N	N	N	N	N	N	N	23-55 years old	264
28-63 years	N	N	N	N	N	N	N	28-63 years	265
NULL	N	N	N	N	N	N	Y	null	266
NULL	N	N	N	N	N	N	Y	null	267
2 months	N	N	N	N	N	N	N	2 months	268
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	269
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	270
8-14 weeks old	N	N	N	N	N	N	N	8-14 weeks old	271
8-12 weeks old	N	N	N	N	N	N	N	8-12 weeks old	272
NULL	N	N	N	N	N	N	Y	null	273
37-57	N	N	N	N	N	N	N	37-57	274
NULL	N	N	N	N	N	N	Y	null	275
NULL	N	N	N	N	N	N	Y	null	276
3-4 weeks	N	N	N	N	N	N	N	3-4 weeks	277
10-50 years	N	N	N	N	N	N	N	10-50 years	278
52-68	N	N	N	N	N	N	N	52-68	279
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	280
6-12 weeks	N	N	N	N	N	N	N	6-12 weeks	281
5-30 years-old	N	N	N	N	N	N	N	5-30 years-old	282
8-14 wk	N	N	N	N	N	N	N	8-14 wk	283
21-66 years old	N	N	N	N	N	N	N	21-66 years old	284
12  weeks	N	N	N	N	Y	N	N	12 weeks	285
21-50 years old	N	N	N	N	N	N	N	21-50 years old	286
8 weeks	N	N	N	N	N	N	N	8 weeks	287
NULL	N	N	N	N	N	N	Y	null	288
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	289
8 weeks	N	N	N	N	N	N	N	8 weeks	290
NULL	N	N	N	N	N	N	Y	null	291
10.5 years avg.	N	N	N	N	N	N	N	10.5 years avg.	292
NULL	N	N	N	N	N	N	Y	null	293
6-8 wks	N	N	N	N	N	N	N	6-8 wks	294
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	295
2 months	N	N	N	N	N	N	N	2 months	296
2 months	N	N	N	N	N	N	N	2 months	297
18–64 years)	Y	N	N	N	N	N	N	18-64 years)	298
6-8 wk	N	N	N	N	N	N	N	6-8 wk	299
6-8 weeks old	N	N	N	N	N	N	N	6-8 weeks old	300
1-2 months-old	N	N	N	N	N	N	N	1-2 months-old	301
6-16 wk	N	N	N	N	N	N	N	6-16 wk	302
NULL	N	N	N	N	N	N	Y	null	303
3.5-17 months	N	N	N	N	N	N	N	3.5-17 months	304
6-7 weeks	N	N	N	N	N	N	N	6-7 weeks	305
1-1.5 years	N	N	N	N	N	N	N	1-1.5 years	306
At least 8 weeks old	N	N	N	N	N	N	Y	at least 8 weeks old	307
8-24 weeks old	N	N	N	N	N	N	N	8-24 weeks old	308
7-9 weeks	N	N	N	N	N	N	N	7-9 weeks	309
7-9 weeks	N	N	N	N	N	N	N	7-9 weeks	310
12 weeks	N	N	N	N	N	N	N	12 weeks	311
4-5 wk	N	N	N	N	N	N	N	4-5 wk	312
8 weeks or older	N	N	N	N	N	N	N	8 weeks or older	313
17-81 years old	N	N	N	N	N	N	N	17-81 years old	314
10-12 weeks	N	N	N	N	N	N	N	10-12 weeks	315
8-10 wk	N	N	N	N	N	N	N	8-10 wk	316
3 months-old	N	N	N	N	N	N	N	3 months-old	317
