before_char_normalization	en-dash	em-dash	plus-minus	strip_whitespace	remove_multi_whitespace	convert_to_ascii	lowercase	after_char_normalization	index
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3504
8-10 weeks old	N	N	N	N	N	N	N	8-10 weeks old	3505
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	3506
2 to 49 years	N	N	N	N	N	N	N	2 to 49 years	3507
22 to 26 months	N	N	N	N	N	N	N	22 to 26 months	3508
2 to 26 months	N	N	N	N	N	N	N	2 to 26 months	3509
23-70 years	N	N	N	N	N	N	N	23-70 years	3510
7 to 12 weeks	N	N	N	N	N	N	N	7 to 12 weeks	3511
16-59 years	N	N	N	N	N	N	N	16-59 years	3512
NULL	N	N	N	N	N	N	Y	null	3513
20 - 57 years	N	N	N	N	N	N	N	20 - 57 years	3514
10-14 weeks	N	N	N	N	N	N	N	10-14 weeks	3515
<16 hours	N	N	N	N	N	N	N	<16 hours	3516
3 months	N	N	N	N	N	N	N	3 months	3517
NULL	N	N	N	N	N	N	Y	null	3518
6 - 12 weeks	N	N	N	N	N	N	N	6 - 12 weeks	3519
17 - 60 years	N	N	N	N	N	N	N	17 - 60 years	3520
7-12 weeks	N	N	N	N	N	N	N	7-12 weeks	3521
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	3522
39.8 +/- 10.6 years	N	N	N	N	N	N	N	39.8 +/- 10.6 years	3523
8 to 16 weeks	N	N	N	N	N	N	N	8 to 16 weeks	3524
30 years old	N	N	N	N	N	N	N	30 years old	3525
NULL	N	N	N	N	N	N	Y	null	3526
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	3527
5-7 weeks	N	N	N	N	N	N	N	5-7 weeks	3528
5 to 6 weeks	N	N	N	N	N	N	N	5 to 6 weeks	3529
14-56 years	N	N	N	N	N	N	N	14-56 years	3530
4 week old	N	N	N	N	N	N	N	4 week old	3531
46 years old	N	N	N	N	N	N	N	46 years old	3532
18-68 years	N	N	N	N	N	N	N	18-68 years	3533
NULL	N	N	N	N	N	N	Y	null	3534
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	3535
58 years old	N	N	N	N	N	N	N	58 years old	3536
38 years old	N	N	N	N	N	N	N	38 years old	3537
52 years old	N	N	N	N	N	N	N	52 years old	3538
34 years old	N	N	N	N	N	N	N	34 years old	3539
59 years old	N	N	N	N	N	N	N	59 years old	3540
10-28 weeks	N	N	N	N	N	N	N	10-28 weeks	3541
17 to 26 weeks	N	N	N	N	N	N	N	17 to 26 weeks	3542
56 years old	N	N	N	N	N	N	N	56 years old	3543
8 months	N	N	N	N	N	N	N	8 months	3544
22-53 years	N	N	N	N	N	N	N	22-53 years	3545
21-55 years	N	N	N	N	N	N	N	21-55 years	3546
23-57 years	N	N	N	N	N	N	N	23-57 years	3547
7 to 16 weeks	N	N	N	N	N	N	N	7 to 16 weeks	3548
24-52	N	N	N	N	N	N	N	24-52	3549
19-30	N	N	N	N	N	N	N	19-30	3550
26-58	N	N	N	N	N	N	N	26-58	3551
57	N	N	N	N	N	N	N	57	3552
6-58 years	N	N	N	N	N	N	N	6-58 years	3553
24-46	N	N	N	N	N	N	N	24-46	3554
10 weeks	N	N	N	N	N	N	N	10 weeks	3555
35-43 years-old	N	N	N	N	N	N	N	35-43 years-old	3556
18 to 35, or 65 to 95 years.	N	N	N	N	N	N	N	18 to 35, or 65 to 95 years.	3557
7 to 10 weeks	N	N	N	N	N	N	N	7 to 10 weeks	3558
56 years	N	N	N	N	N	N	N	56 years	3559
6 to 8 weeks or 18 to 24 months	N	N	N	N	N	N	N	6 to 8 weeks or 18 to 24 months	3560
7 to 8 week	N	N	N	N	N	N	N	7 to 8 week	3561
1-8 mos	N	N	N	N	N	N	N	1-8 mos	3562
NULL	N	N	N	N	N	N	Y	null	3563
NULL	N	N	N	N	N	N	Y	null	3564
7-15 weeks	N	N	N	N	N	N	N	7-15 weeks	3565
11-13 weeks	N	N	N	N	N	N	N	11-13 weeks	3566
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	3567
4 months	N	N	N	N	N	N	N	4 months	3568
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	3569
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	3570
7-10 weeks	N	N	N	N	N	N	N	7-10 weeks	3571
18-19 weeks	N	N	N	N	N	N	N	18-19 weeks	3572
32-39 weeks	N	N	N	N	N	N	N	32-39 weeks	3573
8-14 weeks	N	N	N	N	N	N	N	8-14 weeks	3574
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3575
31-39 years old	N	N	N	N	N	N	N	31-39 years old	3576
5-6 weeks	N	N	N	N	N	N	N	5-6 weeks	3577
> 2 months	N	N	N	N	N	N	N	> 2 months	3578
8-16 weeks	N	N	N	N	N	N	N	8-16 weeks	3579
6 week old	N	N	N	N	N	N	N	6 week old	3580
21-66 years	N	N	N	N	N	N	N	21-66 years	3581
2-12 months	N	N	N	N	N	N	N	2-12 months	3582
2-12 months	N	N	N	N	N	N	N	2-12 months	3583
24-82 years	N	N	N	N	N	N	N	24-82 years	3584
21-51 years	N	N	N	N	N	N	N	21-51 years	3585
at least 7 weeks	N	N	N	N	N	N	N	at least 7 weeks	3586
at least 7 weeks	N	N	N	N	N	N	N	at least 7 weeks	3587
8.9 to 18.7 years	N	N	N	N	N	N	N	8.9 to 18.7 years	3588
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	3589
20-73 years	N	N	N	N	N	N	N	20-73 years	3590
48-75 years	N	N	N	N	N	N	N	48-75 years	3591
23 to 69 years	N	N	N	N	N	N	N	23 to 69 years	3592
6 to 12 weeks	N	N	N	N	N	N	N	6 to 12 weeks	3593
33 to 49 years	N	N	N	N	N	N	N	33 to 49 years	3594
8 weeks	N	N	N	N	N	N	N	8 weeks	3595
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	3596
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	3597
35 to 50 years	N	N	N	N	N	N	N	35 to 50 years	3598
30-51 years	N	N	N	N	N	N	N	30-51 years	3599
6 motnhs to 15 years	N	N	N	N	N	N	N	6 motnhs to 15 years	3600
30 to 70 years	N	N	N	N	N	N	N	30 to 70 years	3601
12 weeks	N	N	N	N	N	N	N	12 weeks	3602
51-78 years	N	N	N	N	N	N	N	51-78 years	3603
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	3604
75-77 years	N	N	N	N	N	N	N	75-77 years	3605
3-32 weeks	N	N	N	N	N	N	N	3-32 weeks	3606
28 to 60 years	N	N	N	N	N	N	N	28 to 60 years	3607
70	N	N	N	N	N	N	N	70	3608
6 to 12 weeks	N	N	N	N	N	N	N	6 to 12 weeks	3609
>50 years-old	N	N	N	N	N	N	N	>50 years-old	3610
> 6 weeks	N	N	N	N	N	N	N	> 6 weeks	3611
23 to 73 years	N	N	N	N	N	N	N	23 to 73 years	3612
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	3613
9-12 weeks	N	N	N	N	N	N	N	9-12 weeks	3614
4 to 6 weeks	N	N	N	N	N	N	N	4 to 6 weeks	3615
12 weeks	N	N	N	N	N	N	N	12 weeks	3616
27 +/- 6 years	N	N	N	N	N	N	N	27 +/- 6 years	3617
median age = 27 years	N	N	N	N	N	N	N	median age = 27 years	3618
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	3619
6 weeks	N	N	N	N	N	N	N	6 weeks	3620
6 weeks	N	N	N	N	N	N	N	6 weeks	3621
19-76 years	N	N	N	N	N	N	N	19-76 years	3622
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	3623
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	3624
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	3625
17 +/- 6 years	N	N	N	N	N	N	N	17 +/- 6 years	3626
26-57 years	N	N	N	N	N	N	N	26-57 years	3627
5-62 years	N	N	N	N	N	N	N	5-62 years	3628
55.2 +/- 20.1 years	N	N	N	N	N	N	N	55.2 +/- 20.1 years	3629
8-14 weeks	N	N	N	N	N	N	N	8-14 weeks	3630
46.1 +/- 14.8 years	N	N	N	N	N	N	N	46.1 +/- 14.8 years	3631
21-76 years	N	N	N	N	N	N	N	21-76 years	3632
3 weeks	N	N	N	N	N	N	N	3 weeks	3633
27-72 years	N	N	N	N	N	N	N	27-72 years	3634
18-77 years	N	N	N	N	N	N	N	18-77 years	3635
18-81 years	N	N	N	N	N	N	N	18-81 years	3636
30-53 years old	N	N	N	N	N	N	N	30-53 years old	3637
5-7 weeks	N	N	N	N	N	N	N	5-7 weeks	3638
20-58 years-old	N	N	N	N	N	N	N	20-58 years-old	3639
29-62	N	N	N	N	N	N	N	29-62	3640
21-48 years-old	N	N	N	N	N	N	N	21-48 years-old	3641
> 8 weeks	N	N	N	N	N	N	N	> 8 weeks	3642
4 to 7 weeks	N	N	N	N	N	N	N	4 to 7 weeks	3643
25-77 years	N	N	N	N	N	N	N	25-77 years	3644
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	3645
4-13 years	N	N	N	N	N	N	N	4-13 years	3646
5 to 12 weeks	N	N	N	N	N	N	N	5 to 12 weeks	3647
64	N	N	N	N	N	N	N	64	3648
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	3649
6-20 weeks	N	N	N	N	N	N	N	6-20 weeks	3650
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	3651
25-49 years	N	N	N	N	N	N	N	25-49 years	3652
4 months	N	N	N	N	N	N	N	4 months	3653
8-44	N	N	N	N	N	N	N	8-44	3654
8 weeks	N	N	N	N	N	N	N	8 weeks	3655
22 to 32 years	N	N	N	N	N	N	N	22 to 32 years	3656
3-5 months	N	N	N	N	N	N	N	3-5 months	3657
29-36 years	N	N	N	N	N	N	N	29-36 years	3658
2-8 months	N	N	N	N	N	N	N	2-8 months	3659
21-59 years-old	N	N	N	N	N	N	N	21-59 years-old	3660
22-48 years-old	N	N	N	N	N	N	N	22-48 years-old	3661
12-20 weeks	N	N	N	N	N	N	N	12-20 weeks	3662
35-95 years	N	N	N	N	N	N	N	35-95 years	3663
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	3664
6-20 weeks	N	N	N	N	N	N	N	6-20 weeks	3665
22-55 years-old	N	N	N	N	N	N	N	22-55 years-old	3666
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3667
22-66 years	N	N	N	N	N	N	N	22-66 years	3668
22-59 years-old	N	N	N	N	N	N	N	22-59 years-old	3669
23-59 years-old	N	N	N	N	N	N	N	23-59 years-old	3670
2 years 8 months to 3 years 9 months	N	N	N	N	N	N	N	2 years 8 months to 3 years 9 months	3671
<55 years	N	N	N	N	N	N	N	<55 years	3672
58.5 +/- 18.2 years	N	N	N	N	N	N	N	58.5 +/- 18.2 years	3673
8-44 years	N	N	N	N	N	N	N	8-44 years	3674
22-25 years	N	N	N	N	N	N	N	22-25 years	3675
1 to 12 years	N	N	N	N	N	N	N	1 to 12 years	3676
25-55 years-old	N	N	N	N	N	N	N	25-55 years-old	3677
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3678
21-53 years-old	N	N	N	N	N	N	N	21-53 years-old	3679
31-59 years-old	N	N	N	N	N	N	N	31-59 years-old	3680
32-56 years-old	N	N	N	N	N	N	N	32-56 years-old	3681
31-55 years-old	N	N	N	N	N	N	N	31-55 years-old	3682
6-9 weeks	N	N	N	N	N	N	N	6-9 weeks	3683
NULL	N	N	N	N	N	N	Y	null	3684
21-56 years-old	N	N	N	N	N	N	N	21-56 years-old	3685
32-35 years-old	N	N	N	N	N	N	N	32-35 years-old	3686
19-54 years-old	N	N	N	N	N	N	N	19-54 years-old	3687
6 to 10 weeks	N	N	N	N	N	N	N	6 to 10 weeks	3688
5 to 8 weeks	N	N	N	N	N	N	N	5 to 8 weeks	3689
NULL	N	N	N	N	N	N	Y	null	3690
25-58 years-old	N	N	N	N	N	N	N	25-58 years-old	3691
21-54 years-old	N	N	N	N	N	N	N	21-54 years-old	3692
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	3693
30-55 years old	N	N	N	N	N	N	N	30-55 years old	3694
25-59 years-old	N	N	N	N	N	N	N	25-59 years-old	3695
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3696
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	3697
22-49 years-old	N	N	N	N	N	N	N	22-49 years-old	3698
25-43 years-old	N	N	N	N	N	N	N	25-43 years-old	3699
29-62 years	N	N	N	N	N	N	N	29-62 years	3700
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	3701
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3702
8 to 10 weeks	N	N	N	N	N	N	N	8 to 10 weeks	3703
30-55 years-old	N	N	N	N	N	N	N	30-55 years-old	3704
33-53 years old	N	N	N	N	N	N	N	33-53 years old	3705
32-53 years old	N	N	N	N	N	N	N	32-53 years old	3706
35-53 years-old	N	N	N	N	N	N	N	35-53 years-old	3707
33-41 years old	N	N	N	N	N	N	N	33-41 years old	3708
prenatal	N	N	N	N	N	N	N	prenatal	3709
33-55 years-old	N	N	N	N	N	N	N	33-55 years-old	3710
31-53 years old	N	N	N	N	N	N	N	31-53 years old	3711
33-55 years old	N	N	N	N	N	N	N	33-55 years old	3712
40-53 years-old	N	N	N	N	N	N	N	40-53 years-old	3713
32-53 years-old	N	N	N	N	N	N	N	32-53 years-old	3714
32-40 years old	N	N	N	N	N	N	N	32-40 years old	3715
32-47 years-old	N	N	N	N	N	N	N	32-47 years-old	3716
31-56 years-old	N	N	N	N	N	N	N	31-56 years-old	3717
33-48 years-old	N	N	N	N	N	N	N	33-48 years-old	3718
22-51 years-old	N	N	N	N	N	N	N	22-51 years-old	3719
30-48 years-old	N	N	N	N	N	N	N	30-48 years-old	3720
30-53 years-old	N	N	N	N	N	N	N	30-53 years-old	3721
33-53 years-old	N	N	N	N	N	N	N	33-53 years-old	3722
33-40 years old	N	N	N	N	N	N	N	33-40 years old	3723
32-44 years-old	N	N	N	N	N	N	N	32-44 years-old	3724
31-48 years-old	N	N	N	N	N	N	N	31-48 years-old	3725
31-55 years old	N	N	N	N	N	N	N	31-55 years old	3726
43-55 years-old	N	N	N	N	N	N	N	43-55 years-old	3727
32-55 years old	N	N	N	N	N	N	N	32-55 years old	3728
32-59 years-old	N	N	N	N	N	N	N	32-59 years-old	3729
33-34 years-old	N	N	N	N	N	N	N	33-34 years-old	3730
32-48 years old	N	N	N	N	N	N	N	32-48 years old	3731
39-53 years old	N	N	N	N	N	N	N	39-53 years old	3732
32-47 years old	N	N	N	N	N	N	N	32-47 years old	3733
22-47 years-old	N	N	N	N	N	N	N	22-47 years-old	3734
21-45 years-old	N	N	N	N	N	N	N	21-45 years-old	3735
22-53 years-old	N	N	N	N	N	N	N	22-53 years-old	3736
21-47 years-old	N	N	N	N	N	N	N	21-47 years-old	3737
22-54 years-old	N	N	N	N	N	N	N	22-54 years-old	3738
32-49 years-old	N	N	N	N	N	N	N	32-49 years-old	3739
21-24 days	N	N	N	N	N	N	N	21-24 days	3740
31-54 years-old	N	N	N	N	N	N	N	31-54 years-old	3741
12 to 15 weeks	N	N	N	N	N	N	N	12 to 15 weeks	3742
22-44 years-old	N	N	N	N	N	N	N	22-44 years-old	3743
23-45 years-old	N	N	N	N	N	N	N	23-45 years-old	3744
NULL	N	N	N	N	N	N	Y	null	3745
3 years old	N	N	N	N	N	N	N	3 years old	3746
35-55 years-old	N	N	N	N	N	N	N	35-55 years-old	3747
4-8 weeks	N	N	N	N	N	N	N	4-8 weeks	3748
21-32 years-old	N	N	N	N	N	N	N	21-32 years-old	3749
> 8 weeks	N	N	N	N	N	N	N	> 8 weeks	3750
21-52 years-old	N	N	N	N	N	N	N	21-52 years-old	3751
27-53 years-old	N	N	N	N	N	N	N	27-53 years-old	3752
4 and 12 weeks	N	N	N	N	N	N	N	4 and 12 weeks	3753
4 and 12 weeks	N	N	N	N	N	N	N	4 and 12 weeks	3754
22-43 years-old	N	N	N	N	N	N	N	22-43 years-old	3755
23-44 years-old	N	N	N	N	N	N	N	23-44 years-old	3756
10 to 12 weeks	N	N	N	N	N	N	N	10 to 12 weeks	3757
NULL	N	N	N	N	N	N	Y	null	3758
21-49 years-old	N	N	N	N	N	N	N	21-49 years-old	3759
6 to 14 weeks	N	N	N	N	N	N	N	6 to 14 weeks	3760
23-60 years	N	N	N	N	N	N	N	23-60 years	3761
10 weeks	N	N	N	N	N	N	N	10 weeks	3762
12-16 weeks	N	N	N	N	N	N	N	12-16 weeks	3763
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	3764
25 to 82 years	N	N	N	N	N	N	N	25 to 82 years	3765
25 to 81 years	N	N	N	N	N	N	N	25 to 81 years	3766
39 to 57 years	N	N	N	N	N	N	N	39 to 57 years	3767
23-48 years-old	N	N	N	N	N	N	N	23-48 years-old	3768
25-54 years-old	N	N	N	N	N	N	N	25-54 years-old	3769
27-55 years-old	N	N	N	N	N	N	N	27-55 years-old	3770
16 weeks	N	N	N	N	N	N	N	16 weeks	3771
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3772
44-45 years old	N	N	N	N	N	N	N	44-45 years old	3773
31-45 years-old	N	N	N	N	N	N	N	31-45 years-old	3774
12-71 years	N	N	N	N	N	N	N	12-71 years	3775
25 years	N	N	N	N	N	N	N	25 years	3776
10 weeks or 23 weeks	N	N	N	N	N	N	N	10 weeks or 23 weeks	3777
8-9 months	N	N	N	N	N	N	N	8-9 months	3778
8 to 10 months	N	N	N	N	N	N	N	8 to 10 months	3779
28-57 years	N	N	N	N	N	N	N	28-57 years	3780
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	3781
8-10 weeks	N	N	N	N	N	N	N	8-10 weeks	3782
17 to 59 years	N	N	N	N	N	N	N	17 to 59 years	3783
8-10 weeks or 18-22 months	N	N	N	N	N	N	N	8-10 weeks or 18-22 months	3784
7-66 years	N	N	N	N	N	N	N	7-66 years	3785
6 weeks	N	N	N	N	N	N	N	6 weeks	3786
19-41 years	N	N	N	N	N	N	N	19-41 years	3787
6 weeks	N	N	N	N	N	N	N	6 weeks	3788
10-63 years	N	N	N	N	N	N	N	10-63 years	3789
19-54 years	N	N	N	N	N	N	N	19-54 years	3790
20-61 years	N	N	N	N	N	N	N	20-61 years	3791
22-39	N	N	N	N	N	N	N	22-39	3792
5 weeks	N	N	N	N	N	N	N	5 weeks	3793
4-6 weeks	N	N	N	N	N	N	N	4-6 weeks	3794
24-108 months	N	N	N	N	N	N	N	24-108 months	3795
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3796
embryonic day 15	N	N	N	N	N	N	N	embryonic day 15	3797
22-56 years	N	N	N	N	N	N	N	22-56 years	3798
7 to 8 weeks	N	N	N	N	N	N	N	7 to 8 weeks	3799
7 to 8 weeks	N	N	N	N	N	N	N	7 to 8 weeks	3800
22-64 years	N	N	N	N	N	N	N	22-64 years	3801
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3802
18 to 56 years	N	N	N	N	N	N	N	18 to 56 years	3803
9 to 56 years	N	N	N	N	N	N	N	9 to 56 years	3804
18-40 years, 65 years and over.	N	N	N	N	N	N	N	18-40 years, 65 years and over.	3805
8-12 weeks	N	N	N	N	N	N	N	8-12 weeks	3806
12 to 16 weeks	N	N	N	N	N	N	N	12 to 16 weeks	3807
3-15 weeks	N	N	N	N	N	N	N	3-15 weeks	3808
16 to 18 months	N	N	N	N	N	N	N	16 to 18 months	3809
4 to 6 weeks	N	N	N	N	N	N	N	4 to 6 weeks	3810
3 to 5 weeks	N	N	N	N	N	N	N	3 to 5 weeks	3811
12-15 weeks	N	N	N	N	N	N	N	12-15 weeks	3812
8 weeks	N	N	N	N	N	N	N	8 weeks	3813
53-78 years	N	N	N	N	N	N	N	53-78 years	3814
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3815
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3816
10 weeks	N	N	N	N	N	N	N	10 weeks	3817
18 to 77 years	N	N	N	N	N	N	N	18 to 77 years	3818
18 to 60 years	N	N	N	N	N	N	N	18 to 60 years	3819
15-16 weeks	N	N	N	N	N	N	N	15-16 weeks	3820
1 day, 7-8 days or adult	N	N	N	N	N	N	N	1 day, 7-8 days or adult	3821
6 weeks	N	N	N	N	N	N	N	6 weeks	3822
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	3823
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	3824
5-8 weeks	N	N	N	N	N	N	N	5-8 weeks	3825
4 to 6 weeks	N	N	N	N	N	N	N	4 to 6 weeks	3826
23-72 years	N	N	N	N	N	N	N	23-72 years	3827
22-29 years	N	N	N	N	N	N	N	22-29 years	3828
23-27 years	N	N	N	N	N	N	N	23-27 years	3829
22-26 years	N	N	N	N	N	N	N	22-26 years	3830
NULL	N	N	N	N	N	N	Y	null	3831
47-76 years	N	N	N	N	N	N	N	47-76 years	3832
6 months to 18 years	N	N	N	N	N	N	N	6 months to 18 years	3833
13 and 21 years	N	N	N	N	N	N	N	13 and 21 years	3834
1-15 years	N	N	N	N	N	N	N	1-15 years	3835
26 to 53 months	N	N	N	N	N	N	N	26 to 53 months	3836
27 to 52 years	N	N	N	N	N	N	N	27 to 52 years	3837
13 to 21 years	N	N	N	N	N	N	N	13 to 21 years	3838
9 to 38 years	N	N	N	N	N	N	N	9 to 38 years	3839
22 to 68 years	N	N	N	N	N	N	N	22 to 68 years	3840
22 and 68 years	N	N	N	N	N	N	N	22 and 68 years	3841
3-5 weeks	N	N	N	N	N	N	N	3-5 weeks	3842
6-16 weeks	N	N	N	N	N	N	N	6-16 weeks	3843
13 to 28 years	N	N	N	N	N	N	N	13 to 28 years	3844
3 to 5 weeks	N	N	N	N	N	N	N	3 to 5 weeks	3845
6 to 20 weeks	N	N	N	N	N	N	N	6 to 20 weeks	3846
mean age 35 +/- 11 years	N	N	N	N	N	N	N	mean age 35 +/- 11 years	3847
6 weeks	N	N	N	N	N	N	N	6 weeks	3848
23 weeks	N	N	N	N	N	N	N	23 weeks	3849
8 weeks	N	N	N	N	N	N	N	8 weeks	3850
13 to 38 years	N	N	N	N	N	N	N	13 to 38 years	3851
28-66 years	N	N	N	N	N	N	N	28-66 years	3852
3-18 years	N	N	N	N	N	N	N	3-18 years	3853
10 weeks	N	N	N	N	N	N	N	10 weeks	3854
15 to 41 years	N	N	N	N	N	N	N	15 to 41 years	3855
6 to 12 weeks	N	N	N	N	N	N	N	6 to 12 weeks	3856
20 to 25 years	N	N	N	N	N	N	N	20 to 25 years	3857
6-10 weeks	N	N	N	N	N	N	N	6-10 weeks	3858
53-63 yeras	N	N	N	N	N	N	N	53-63 yeras	3859
average age = 4.38 years	N	N	N	N	N	N	N	average age = 4.38 years	3860
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3861
6 to 8 weeks	N	N	N	N	N	N	N	6 to 8 weeks	3862
NULL	N	N	N	N	N	N	Y	null	3863
22 to 63 years	N	N	N	N	N	N	N	22 to 63 years	3864
25-78 years	N	N	N	N	N	N	N	25-78 years	3865
2 weeks	N	N	N	N	N	N	N	2 weeks	3866
11-80 years	N	N	N	N	N	N	N	11-80 years	3867
41 +/- 11 years	N	N	N	N	N	N	N	41 +/- 11 years	3868
33-55 years	N	N	N	N	N	N	N	33-55 years	3869
51-67 years	N	N	N	N	N	N	N	51-67 years	3870
33-59 years-old	N	N	N	N	N	N	N	33-59 years-old	3871
10 to 27 years	N	N	N	N	N	N	N	10 to 27 years	3872
21 to 74 years	N	N	N	N	N	N	N	21 to 74 years	3873
25 to 73 years	N	N	N	N	N	N	N	25 to 73 years	3874
20 to 55 years	N	N	N	N	N	N	N	20 to 55 years	3875
47-64 years	N	N	N	N	N	N	N	47-64 years	3876
1 day	N	N	N	N	N	N	N	1 day	3877
28-59 years	N	N	N	N	N	N	N	28-59 years	3878
58-68 years	N	N	N	N	N	N	N	58-68 years	3879
45-65 years	N	N	N	N	N	N	N	45-65 years	3880
44-68 years	N	N	N	N	N	N	N	44-68 years	3881
39-65 years	N	N	N	N	N	N	N	39-65 years	3882
> 14 weeks	N	N	N	N	N	N	N	> 14 weeks	3883
64 yeras	N	N	N	N	N	N	N	64 yeras	3884
average age=36.5 years	N	N	N	N	N	N	N	average age=36.5 years	3885
6-27 weeks	N	N	N	N	N	N	N	6-27 weeks	3886
22 to 76 years	N	N	N	N	N	N	N	22 to 76 years	3887
NULL	N	N	N	N	N	N	Y	null	3888
3 months	N	N	N	N	N	N	N	3 months	3889
6-8 weeks	N	N	N	N	N	N	N	6-8 weeks	3890
18-21 years	N	N	N	N	N	N	N	18-21 years	3891
14-18 months	N	N	N	N	N	N	N	14-18 months	3892
5-6 weeks	N	N	N	N	N	N	N	5-6 weeks	3893
9 months to 81 years	N	N	N	N	N	N	N	9 months to 81 years	3894
average age = 48 years	N	N	N	N	N	N	N	average age = 48 years	3895
42 to 61 years	N	N	N	N	N	N	N	42 to 61 years	3896
7 -11 years	N	N	N	N	N	N	N	7 -11 years	3897
7 - 11 years	N	N	N	N	N	N	N	7 - 11 years	3898
6-12 years	N	N	N	N	N	N	N	6-12 years	3899
5-6 weeks	N	N	N	N	N	N	N	5-6 weeks	3900
30-48 years old	N	N	N	N	N	N	N	30-48 years old	3901
32-44 years old	N	N	N	N	N	N	N	32-44 years old	3902
4 weeks	N	N	N	N	N	N	N	4 weeks	3903
23 to 57 years	N	N	N	N	N	N	N	23 to 57 years	3904
4 weeks	N	N	N	N	N	N	N	4 weeks	3905
19-65 years-old	N	N	N	N	N	N	N	19-65 years-old	3906
44-55 years	N	N	N	N	N	N	N	44-55 years	3907
37-63 years	N	N	N	N	N	N	N	37-63 years	3908
10 to 21 years	N	N	N	N	N	N	N	10 to 21 years	3909
18+ years	N	N	N	N	N	N	N	18+ years	3910
19 to 61 years	N	N	N	N	N	N	N	19 to 61 years	3911
30 to 49 years	N	N	N	N	N	N	N	30 to 49 years	3912
> 6 weeks	N	N	N	N	N	N	N	> 6 weeks	3913
7 days	N	N	N	N	N	N	N	7 days	3914
20 to 80 years	N	N	N	N	N	N	N	20 to 80 years	3915
26.2 +/- 4.8 years	N	N	N	N	N	N	N	26.2 +/- 4.8 years	3916
12 to 14 weeks	N	N	N	N	N	N	N	12 to 14 weeks	3917
15 to 72 years	N	N	N	N	N	N	N	15 to 72 years	3918
median 41.7 years	N	N	N	N	N	N	N	median 41.7 years	3919
27 to 64 years	N	N	N	N	N	N	N	27 to 64 years	3920
18 to 51 years	N	N	N	N	N	N	N	18 to 51 years	3921
9 to 65 years	N	N	N	N	N	N	N	9 to 65 years	3922
23 to 60 years	N	N	N	N	N	N	N	23 to 60 years	3923
21 to 60 years	N	N	N	N	N	N	N	21 to 60 years	3924
21 to 44 years	N	N	N	N	N	N	N	21 to 44 years	3925
6 to 8 months	N	N	N	N	N	N	N	6 to 8 months	3926
average age=32 years	N	N	N	N	N	N	N	average age=32 years	3927
2 months	N	N	N	N	N	N	N	2 months	3928
19 weeks	N	N	N	N	N	N	N	19 weeks	3929
8 weeks	N	N	N	N	N	N	N	8 weeks	3930
3 weeks	N	N	N	N	N	N	N	3 weeks	3931
8 to 12 weeks	N	N	N	N	N	N	N	8 to 12 weeks	3932
21-68 years	N	N	N	N	N	N	N	21-68 years	3933
39-69 years	N	N	N	N	N	N	N	39-69 years	3934
12 +/- 2 weeks	N	N	N	N	N	N	N	12 +/- 2 weeks	3935
23-85 years	N	N	N	N	N	N	N	23-85 years	3936
3 weeks	N	N	N	N	N	N	N	3 weeks	3937
